subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,index,1,gride,0,0.5585594773292542,0.43822771310806274,0.7456634044647217,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,gride,1,0.5377995371818542,0.4509139955043793,0.6111497282981873,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,gride,2,0.5528726577758789,0.4689311683177948,0.6163635849952698,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,gride,3,0.001000029151327908,0.001000029151327908,0.001000029151327908,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,gride,4,0.001000029151327908,0.001000029151327908,0.001000029151327908,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,gride,5,0.001000029151327908,0.001000029151327908,0.001000029151327908,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,gride,6,0.08235237747430801,0.001000029151327908,0.5379254817962646,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,gride,7,0.001000029151327908,0.001000029151327908,0.001000029151327908,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,gride,8,0.001000029151327908,0.001000029151327908,0.001000029151327908,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,gride,9,0.001000029151327908,0.001000029151327908,0.001000029151327908,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,gride,10,0.001000029151327908,0.001000029151327908,0.001000029151327908,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,gride,11,0.001000029151327908,0.001000029151327908,0.001000029151327908,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,gride,12,0.6845695376396179,0.5419745445251465,0.8341766595840454,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,0,0.7031769156455994,0.5742777585983276,0.813488245010376,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,1,6.030332088470459,5.54294490814209,6.706229209899902,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,2,7.870326519012451,7.231001853942871,8.481179237365723,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,3,8.318355560302734,7.89850378036499,9.037115097045898,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,4,9.311814308166504,8.559816360473633,10.283135414123535,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,5,9.979011535644531,9.124116897583008,10.918668746948242,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,6,10.186271667480469,9.087775230407715,11.290696144104004,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,7,10.1205472946167,8.939322471618652,11.236750602722168,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,8,9.94561767578125,8.723762512207031,11.095048904418945,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,9,9.663966178894043,8.49622917175293,10.93457317352295,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,10,9.640207290649414,8.6053466796875,10.886282920837402,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,11,9.460197448730469,8.55372142791748,10.481831550598145,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,gride,12,5.4345808029174805,4.755356311798096,5.923888206481934,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,0,0.8664939403533936,0.5412033796310425,1.2332684993743896,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,1,5.3245954513549805,4.583505630493164,6.1022772789001465,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,2,6.017642021179199,5.052194595336914,6.776062488555908,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,3,7.955167770385742,7.086465358734131,8.810105323791504,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,4,11.230905532836914,10.380735397338867,12.388935089111328,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,5,13.090909957885742,12.3709135055542,14.095343589782715,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,6,14.195995330810547,13.524356842041016,14.930625915527344,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,7,14.534588813781738,13.84260082244873,15.278533935546875,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,8,14.483332633972168,13.717622756958008,15.108266830444336,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,9,13.842241287231445,13.041142463684082,14.380032539367676,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,10,13.331753730773926,12.651135444641113,13.733797073364258,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,11,12.85073471069336,12.285283088684082,13.23388957977295,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,gride,12,6.6188859939575195,6.492674350738525,6.805875778198242,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,0,7.8109540939331055,0.7863758206367493,18.799394607543945,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,1,7.2513427734375,5.651962757110596,7.9145636558532715,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,2,7.4981889724731445,5.988152980804443,8.084026336669922,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,3,9.906631469726562,8.411277770996094,10.930035591125488,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,4,12.950923919677734,11.53235912322998,13.829915046691895,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,5,15.013164520263672,13.669384956359863,15.995573043823242,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,6,16.036975860595703,14.80043888092041,17.018924713134766,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,7,16.557863235473633,15.553191184997559,17.709775924682617,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,8,16.433589935302734,15.625408172607422,17.737470626831055,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,9,16.012012481689453,15.310561180114746,17.243295669555664,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,10,15.790665626525879,15.0513916015625,16.8612117767334,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,11,15.055318832397461,14.283422470092773,15.887639045715332,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,gride,12,6.973021507263184,6.820098876953125,7.100303649902344,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,0,0.9906264543533325,0.8022148609161377,1.2463935613632202,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,1,6.824660301208496,5.981032371520996,7.717267036437988,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,2,7.160227298736572,6.239240646362305,8.081881523132324,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,3,9.807435035705566,8.772769927978516,10.615632057189941,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,4,13.244458198547363,12.280176162719727,14.288652420043945,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,5,15.64128303527832,15.093817710876465,16.377727508544922,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,6,16.96453857421875,16.42609405517578,17.457033157348633,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,7,18.063440322875977,17.634822845458984,18.466867446899414,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,8,18.261722564697266,17.63966178894043,18.826114654541016,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,9,18.29724884033203,17.870624542236328,18.868825912475586,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,10,18.223251342773438,17.783092498779297,18.922428131103516,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,11,17.573457717895508,17.05876922607422,18.39470863342285,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,gride,12,7.276769161224365,7.171543598175049,7.378766059875488,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,0,0.8084693551063538,0.7278971672058105,0.8788962960243225,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,1,5.68691873550415,5.34558629989624,6.072180271148682,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,2,5.969525337219238,5.656857967376709,6.468201160430908,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,3,8.53131103515625,8.245268821716309,9.209421157836914,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,4,11.647188186645508,11.376374244689941,12.207754135131836,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,5,14.133222579956055,13.835625648498535,14.407313346862793,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,6,15.383321762084961,15.092602729797363,15.618269920349121,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,7,16.350568771362305,15.987445831298828,16.686246871948242,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,8,16.544811248779297,16.161563873291016,16.99248695373535,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,9,16.997194290161133,16.72439956665039,17.283660888671875,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,10,16.931772232055664,16.716955184936523,17.14914321899414,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,11,16.908615112304688,16.572851181030273,17.183080673217773,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,6,gride,12,7.218862056732178,7.108468055725098,7.36460542678833,9972,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,0,3.311586380004883,0.8289883136749268,11.6460542678833,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,1,6.92023229598999,6.059335708618164,8.22189712524414,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,2,7.126091957092285,6.271982669830322,8.43354320526123,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,3,10.24789810180664,9.300324440002441,11.408674240112305,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,4,13.622455596923828,12.993667602539062,14.341720581054688,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,5,15.813966751098633,15.169861793518066,16.362751007080078,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,6,16.79632568359375,16.14405059814453,17.270462036132812,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,7,17.645584106445312,17.043581008911133,18.12134552001953,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,8,17.874116897583008,17.43027114868164,18.31941032409668,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,9,18.082469940185547,17.65728759765625,18.44375991821289,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,10,18.149700164794922,17.76317596435547,18.628253936767578,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,11,17.850955963134766,17.564916610717773,18.191116333007812,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,7,gride,12,7.043074131011963,6.954656600952148,7.12264347076416,9559,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,8,gride,0,1.981194257736206,0.796724796295166,6.4835124015808105,9142,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,8,gride,1,7.077399253845215,6.290693759918213,8.51426887512207,9142,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,8,gride,2,7.29188346862793,6.472702503204346,8.751696586608887,9142,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,8,gride,3,10.369922637939453,9.450441360473633,11.566590309143066,9142,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
