subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,index,1,lpca99,0,429.0,421.17498779296875,441.8999938964844,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,lpca99,1,298.5,293.5249938964844,305.7749938964844,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,lpca99,2,38.875,36.17499923706055,41.650001525878906,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,lpca99,3,1.0,1.0,1.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,lpca99,4,1.0,1.0,1.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,lpca99,5,1.0,1.0,1.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,lpca99,6,1.0,1.0,1.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,lpca99,7,1.0,1.0,1.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,lpca99,8,1.0,1.0,1.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,lpca99,9,1.0,1.0,1.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,lpca99,10,1.0,1.0,1.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,lpca99,11,1.0,1.0,1.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,lpca99,12,11.25,10.175000190734863,12.0,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,0,547.5,539.2249755859375,554.9500122070312,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,1,507.0,501.70001220703125,510.6499938964844,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,2,511.125,505.70001220703125,514.0,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,3,525.25,520.7000122070312,528.0,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,4,545.875,541.5250244140625,548.8250122070312,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,5,551.625,548.3499755859375,554.6500244140625,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,6,558.125,555.1749877929688,561.6500244140625,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,7,561.5,558.1749877929688,564.8250122070312,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,8,569.25,566.1749877929688,572.6500244140625,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,9,576.75,574.0,580.4749755859375,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,10,579.5,576.1749877929688,583.4749755859375,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,11,569.625,566.1749877929688,573.4749755859375,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,lpca99,12,59.75,56.17499923706055,64.6500015258789,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,lpca99,0,563.75,555.1749877929688,572.2999877929688,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,lpca99,1,517.75,512.3499755859375,522.8250122070312,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,lpca99,2,524.75,520.1749877929688,528.8250122070312,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,lpca99,3,562.25,558.3499755859375,565.0,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
