subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,index,1,rand,0,0.9323180317878723,0.930209755897522,0.9344522356987,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,rand,1,0.9553877711296082,0.9536527395248413,0.9570572972297668,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,rand,2,0.9975031018257141,0.9971877932548523,0.9977785348892212,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,rand,3,0.9998350143432617,0.9997767806053162,0.9998617172241211,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,rand,4,0.9998506307601929,0.999751091003418,0.9998770356178284,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,rand,5,0.9998520612716675,0.9998039603233337,0.9998797178268433,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,rand,6,0.9998378753662109,0.9997602701187134,0.9998770356178284,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,rand,7,0.9998435974121094,0.9997665882110596,0.9998669028282166,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,rand,8,0.9998071789741516,0.9997044801712036,0.9998414516448975,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,rand,9,0.9997650384902954,0.9996625185012817,0.9998041391372681,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,rand,10,0.999649703502655,0.9995212554931641,0.9997115135192871,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,rand,11,0.9991342425346375,0.9989340901374817,0.999274730682373,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,rand,12,0.9838683009147644,0.9827557802200317,0.9845851063728333,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,0,0.8092705011367798,0.8066800236701965,0.8116505742073059,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,1,0.8091104626655579,0.8071649074554443,0.8110137581825256,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,2,0.7279218435287476,0.7249306440353394,0.7302013039588928,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,3,0.7017545104026794,0.6993312835693359,0.7052310705184937,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,4,0.6509608030319214,0.6481268405914307,0.6541431546211243,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,5,0.6522701978683472,0.6499471664428711,0.6548578143119812,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,6,0.6504139304161072,0.6478761434555054,0.6543030738830566,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,7,0.6559461355209351,0.6533671021461487,0.6582847833633423,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,8,0.6684783101081848,0.6659694910049438,0.6726400256156921,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,9,0.6988974809646606,0.6962801218032837,0.7019753456115723,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,10,0.7384241819381714,0.7367706894874573,0.7411361932754517,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,11,0.8642663955688477,0.8626588582992554,0.8657916188240051,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,rand,12,0.9720565676689148,0.9687965512275696,0.9736030101776123,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,0,0.7843406796455383,0.7808066010475159,0.7881385684013367,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,1,0.7826584577560425,0.7788858413696289,0.7861210107803345,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,2,0.6884132027626038,0.6854533553123474,0.6916379928588867,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,3,0.653421938419342,0.6503490805625916,0.6572685837745667,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,4,0.6049942970275879,0.6023471355438232,0.6080678105354309,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,5,0.5949023962020874,0.591671347618103,0.5980682969093323,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,6,0.5817735195159912,0.5779456496238708,0.5842514038085938,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,7,0.5840506553649902,0.5808689594268799,0.5872835516929626,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,8,0.5974087119102478,0.5934332609176636,0.6009963154792786,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,9,0.6267884969711304,0.623516321182251,0.6293861865997314,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,10,0.6745092272758484,0.6716623902320862,0.676761269569397,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,11,0.8205872774124146,0.8183548450469971,0.8223726749420166,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,3,rand,12,0.9770738482475281,0.9762603640556335,0.9777568578720093,9800,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,0,0.7712002992630005,0.7686049938201904,0.7749302983283997,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,1,0.7786237597465515,0.7768471837043762,0.7810243368148804,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,2,0.6823488473892212,0.6787023544311523,0.6864544153213501,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,3,0.6461010575294495,0.6423831582069397,0.6497171521186829,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,4,0.598773181438446,0.5959014296531677,0.6007531881332397,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,5,0.5805925130844116,0.577681303024292,0.5826618671417236,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,6,0.5619378089904785,0.5596882700920105,0.5642019510269165,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,7,0.5611670613288879,0.558772087097168,0.563531756401062,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,8,0.5727399587631226,0.5683847665786743,0.5764938592910767,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,9,0.597285807132721,0.595473051071167,0.5991485714912415,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,10,0.6487644910812378,0.6456059217453003,0.6511887907981873,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,11,0.798160970211029,0.7960214614868164,0.8003184199333191,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,4,rand,12,0.9758505821228027,0.9744430780410767,0.9770443439483643,9932,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,rand,0,0.7594285011291504,0.7570683360099792,0.761836588382721,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,rand,1,0.7748785018920898,0.7721726894378662,0.7778844833374023,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,rand,2,0.6820391416549683,0.6792561411857605,0.6844232082366943,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,rand,3,0.6449388861656189,0.6410199999809265,0.6487025022506714,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,rand,4,0.599322497844696,0.5970605611801147,0.6011059880256653,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,rand,5,0.5782029628753662,0.576219916343689,0.5808566212654114,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,rand,6,0.5559395551681519,0.5541326403617859,0.5583396553993225,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,rand,7,0.5541799068450928,0.5515152215957642,0.5565318465232849,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,5,rand,8,0.5623773336410522,0.5593590140342712,0.5653820037841797,9948,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
