subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,index,1,spect,0,216.1617431640625,211.09121704101562,221.2858428955078,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,spect,1,381.24981689453125,375.62139892578125,387.51983642578125,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,spect,2,739.0811157226562,738.1217041015625,739.9541625976562,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,spect,3,766.1448364257812,766.0834350585938,766.2030029296875,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,spect,4,766.4468383789062,766.3969116210938,766.4944458007812,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,spect,5,766.592041015625,766.548095703125,766.6342163085938,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,spect,6,766.6435546875,766.6029663085938,766.6832275390625,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,spect,7,766.645751953125,766.607421875,766.6839599609375,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,spect,8,766.5909423828125,766.5534057617188,766.6289672851562,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,spect,9,766.5052490234375,766.468994140625,766.5433959960938,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,spect,10,766.341552734375,766.3051147460938,766.3816528320312,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,spect,11,765.9857177734375,765.946044921875,766.0286865234375,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,1,spect,12,655.2831420898438,650.5128173828125,658.6021728515625,10067,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,spect,0,63.0776252746582,61.95024490356445,64.10747528076172,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,spect,1,64.88323974609375,63.86082077026367,65.80938720703125,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,spect,2,54.87565231323242,53.79095458984375,55.915199279785156,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,spect,3,50.349639892578125,48.78256607055664,51.50281524658203,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,spect,4,44.00540542602539,42.75480651855469,45.083656311035156,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,spect,5,40.86790084838867,39.956642150878906,41.90147018432617,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,spect,6,40.767066955566406,39.867000579833984,41.93860626220703,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,index,2,spect,7,40.444007873535156,39.52658462524414,41.67005920410156,9647,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
