subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,length,1,iso,0,0.014057201333343983,0.013851465657353401,0.014293075539171696,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,iso,1,0.020126378163695335,0.019831862300634384,0.02041441947221756,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,iso,2,0.027508670464158058,0.027091199532151222,0.027878066524863243,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,iso,3,0.032112251967191696,0.03166749328374863,0.03252125903964043,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,iso,4,0.03406336531043053,0.033676959574222565,0.03450838848948479,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,iso,5,0.041202202439308167,0.04074695706367493,0.04174137860536575,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,iso,6,0.04198336973786354,0.0414239726960659,0.04256756603717804,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,iso,7,0.044535115361213684,0.04398629814386368,0.04510526359081268,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,iso,8,0.04263972118496895,0.04207108914852142,0.0431203618645668,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,iso,9,0.0499785952270031,0.04950545355677605,0.05046265199780464,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,iso,10,0.04197545349597931,0.04156689718365669,0.04251841828227043,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,iso,11,0.029120098799467087,0.02880553901195526,0.02955562248826027,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,iso,12,0.01111332792788744,0.010970666073262691,0.011279284954071045,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
