subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,length,1,lpca99,0,53.375,52.0,54.82500076293945,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,lpca99,1,259.875,258.17498779296875,261.82501220703125,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,lpca99,2,389.125,388.0,390.82501220703125,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,lpca99,3,451.25,450.0,453.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,lpca99,4,505.625,504.0,507.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,lpca99,5,551.0,549.1749877929688,552.8250122070312,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,lpca99,6,582.75,581.1749877929688,584.8250122070312,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,lpca99,7,605.625,604.1749877929688,607.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,lpca99,8,608.25,607.1749877929688,609.8250122070312,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,lpca99,9,609.5,608.1749877929688,611.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,lpca99,10,595.5,593.1749877929688,598.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,lpca99,11,597.375,595.1749877929688,600.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,1,lpca99,12,593.125,591.0,595.8250122070312,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,2,lpca99,0,91.5,86.3499984741211,98.4749984741211,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,2,lpca99,1,320.125,315.17498779296875,326.82501220703125,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,2,lpca99,2,438.125,434.3500061035156,443.0,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,2,lpca99,3,506.25,504.17498779296875,509.82501220703125,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,2,lpca99,4,557.625,556.1749877929688,559.8250122070312,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,2,lpca99,5,601.375,600.1749877929688,602.8250122070312,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,2,lpca99,6,632.25,632.0,633.0,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,length,2,lpca99,7,651.0,650.1749877929688,651.8250122070312,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
