subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,length,1,corrint,0,0.062133871018886566,0.0536658875644207,0.08016624301671982,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,corrint,1,5.952709674835205,5.6761956214904785,6.382575035095215,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,corrint,2,6.395840644836426,6.154870510101318,6.663455009460449,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,corrint,3,7.618340492248535,7.394167900085449,7.812882900238037,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,corrint,4,7.046778202056885,6.840354919433594,7.249164581298828,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,corrint,5,7.991391181945801,7.613742828369141,8.258193969726562,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,corrint,6,6.136446952819824,5.8994646072387695,6.5049333572387695,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,corrint,7,6.891242980957031,6.598629474639893,7.1890153884887695,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,corrint,8,6.112185478210449,5.926397800445557,6.303441047668457,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,corrint,9,6.16213321685791,5.888003826141357,6.367714881896973,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,corrint,10,5.7945966720581055,5.564734935760498,6.060831069946289,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,corrint,11,5.6588897705078125,5.497591972351074,5.9167304039001465,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,corrint,12,4.153085708618164,3.937540292739868,4.406583309173584,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,0,1.0243721008300781,0.9392035007476807,1.090714454650879,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,1,5.221817493438721,5.0134477615356445,5.520040988922119,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,2,6.149423599243164,5.988115310668945,6.262385845184326,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,3,7.46385383605957,7.257442474365234,7.860918998718262,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,4,7.243424415588379,6.877104759216309,7.659325122833252,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,5,6.283864974975586,5.90839958190918,6.592817783355713,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,6,5.812236309051514,5.283621788024902,6.1481733322143555,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,7,6.124835968017578,5.593774318695068,6.448306560516357,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,8,6.561758518218994,6.022675514221191,6.969290733337402,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,9,7.0555267333984375,6.557352066040039,7.398868083953857,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,10,7.415781021118164,6.945738792419434,7.690003395080566,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,11,7.779407024383545,7.310144901275635,8.055826187133789,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,corrint,12,5.003493309020996,4.802182197570801,5.212822914123535,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,0,0.9930756092071533,0.9645498991012573,1.0260114669799805,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,1,3.7672674655914307,3.3966853618621826,4.266576766967773,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,2,3.295475482940674,3.0587406158447266,3.7391557693481445,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,3,5.618541717529297,5.394902229309082,5.890335559844971,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,4,7.2715277671813965,6.760427474975586,7.540464878082275,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,5,7.689443588256836,7.125121593475342,8.034523010253906,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,6,7.837250232696533,7.527075290679932,8.197107315063477,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,7,8.372565269470215,8.11632251739502,8.6585054397583,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,8,7.5927934646606445,7.2812418937683105,7.892841339111328,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,9,7.47319221496582,7.227957248687744,7.865933418273926,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,10,7.93235445022583,7.662012100219727,8.177029609680176,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,11,8.06513500213623,7.744974613189697,8.346989631652832,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,corrint,12,5.75132942199707,5.411036491394043,6.0024638175964355,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,0,6.043588161468506,5.601975440979004,6.892697334289551,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,1,2.3252036571502686,1.7817319631576538,3.1681735515594482,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,2,1.3903385400772095,1.0483428239822388,2.24133038520813,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,3,2.181178092956543,1.9212132692337036,2.9892072677612305,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,4,3.172759532928467,2.5780789852142334,4.037233829498291,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,5,4.436071395874023,3.8462133407592773,5.315732479095459,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,6,5.734043598175049,5.160459041595459,6.6978864669799805,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,7,6.718738079071045,5.991457939147949,7.70529317855835,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,8,8.109880447387695,7.2991862297058105,9.00728702545166,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,9,9.446369171142578,8.854669570922852,10.164441108703613,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,10,10.33448314666748,9.768622398376465,10.721198081970215,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,11,11.044281959533691,10.410604476928711,11.383288383483887,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,corrint,12,6.447567939758301,5.990920066833496,6.7895708084106445,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
