subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,length,1,gride,0,0.47236937284469604,0.40661585330963135,0.5625028610229492,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,gride,1,4.9954681396484375,4.575380325317383,5.41658878326416,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,gride,2,5.592101097106934,5.127600193023682,5.9968438148498535,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,gride,3,7.210755348205566,6.578739643096924,7.774355888366699,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,gride,4,8.362442016601562,7.5927629470825195,8.887320518493652,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,gride,5,9.684273719787598,9.003904342651367,10.14380168914795,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,gride,6,9.675833702087402,9.120079040527344,10.073213577270508,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,gride,7,10.079987525939941,9.648481369018555,10.393674850463867,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,gride,8,10.236489295959473,9.850587844848633,10.446398735046387,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,gride,9,10.786983489990234,10.418797492980957,11.16501235961914,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,gride,10,11.855018615722656,11.470107078552246,12.345189094543457,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,gride,11,12.82097339630127,12.459467887878418,13.167505264282227,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,gride,12,5.161728858947754,5.041940689086914,5.323381423950195,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,0,1.7905185222625732,1.7059584856033325,1.9193302392959595,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,1,3.325495481491089,3.085766315460205,3.665208578109741,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,2,3.655958652496338,3.388270378112793,4.045167922973633,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,3,5.102263450622559,4.6687517166137695,5.540358066558838,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,4,6.623745918273926,6.1384711265563965,7.074620246887207,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,5,7.961621284484863,7.474682331085205,8.412240028381348,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,6,8.829767227172852,8.448455810546875,9.215635299682617,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,7,9.809866905212402,9.45273208618164,10.182426452636719,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,8,10.605645179748535,10.14006233215332,10.95151138305664,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,9,11.315720558166504,10.737113952636719,11.693230628967285,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,10,11.907402038574219,11.443747520446777,12.315327644348145,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,11,12.305042266845703,11.915131568908691,12.600836753845215,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,gride,12,6.924795627593994,6.737695693969727,7.250407695770264,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,gride,0,1.0488308668136597,0.6131100654602051,2.6061618328094482,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,gride,1,5.101004600524902,4.240730285644531,5.588779449462891,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,gride,2,5.364965438842773,4.811368465423584,6.0280609130859375,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,gride,3,7.074033737182617,6.5975542068481445,7.78492546081543,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,gride,4,9.086808204650879,8.680597305297852,9.725240707397461,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,gride,5,10.807025909423828,10.404817581176758,11.226303100585938,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,gride,6,11.843379974365234,11.456722259521484,12.209419250488281,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,gride,7,13.32868766784668,12.963991165161133,13.872004508972168,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
