subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,length,1,lpca99,0,30.75,29.174999237060547,32.82500076293945,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,lpca99,1,86.75,83.17500305175781,93.125,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,lpca99,2,7.875,7.0,9.649999618530273,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,lpca99,3,1.0,1.0,1.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,lpca99,4,1.0,1.0,1.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,lpca99,5,1.0,1.0,1.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,lpca99,6,1.0,1.0,1.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,lpca99,7,1.0,1.0,1.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,lpca99,8,1.0,1.0,1.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,lpca99,9,1.25,1.0,2.0,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,lpca99,10,5.125,3.174999952316284,9.300000190734863,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,lpca99,11,26.625,19.350000381469727,40.25,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,lpca99,12,34.625,31.174999237060547,39.82500076293945,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,0,85.125,80.0,90.0,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,1,139.875,133.52499389648438,147.64999389648438,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,2,16.375,15.175000190734863,18.0,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,3,1.0,1.0,1.0,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,4,1.0,1.0,1.0,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,5,1.0,1.0,1.0,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,6,1.0,1.0,1.0,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,7,1.0,1.0,1.0,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,8,1.0,1.0,1.0,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,9,4.375,2.174999952316284,6.824999809265137,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,10,28.25,22.350000381469727,33.82500076293945,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,11,75.0,65.5250015258789,84.4749984741211,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,lpca99,12,92.625,88.17500305175781,98.4749984741211,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,0,193.5,187.6999969482422,201.125,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,1,231.5,226.35000610351562,239.77499389648438,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,2,42.625,36.525001525878906,49.95000076293945,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,3,1.0,1.0,1.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,4,1.0,1.0,1.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,5,1.0,1.0,1.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,6,1.0,1.0,1.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,7,1.0,1.0,1.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,8,1.0,1.0,1.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,9,9.375,4.349999904632568,14.475000381469727,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,10,43.875,31.875,55.599998474121094,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,11,103.125,85.2249984741211,119.25,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,3,lpca99,12,118.125,108.3499984741211,129.77499389648438,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,0,395.0,383.92498779296875,400.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,1,379.75,368.2749938964844,383.82501220703125,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,2,134.375,120.625,140.47500610351562,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,3,1.0,1.0,1.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,4,1.0,1.0,1.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,5,1.0,1.0,1.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,6,1.0,1.0,1.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,7,1.0,1.0,1.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,8,7.125,1.875,9.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,9,31.5,20.100000381469727,36.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,10,75.75,58.32500076293945,82.0,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,11,137.5,116.19999694824219,145.8249969482422,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,4,lpca99,12,127.5,120.5250015258789,133.47500610351562,30000,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
