subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,length,1,spect,0,339.07598876953125,331.9340515136719,345.1131896972656,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,spect,1,530.7559814453125,524.2481689453125,536.3901977539062,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,spect,2,747.0564575195312,746.2591552734375,747.7562255859375,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,spect,3,766.2763061523438,766.2099609375,766.3345336914062,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,spect,4,766.0032958984375,765.9276733398438,766.0709228515625,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,spect,5,765.6033935546875,765.5146484375,765.6837158203125,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,spect,6,765.1185302734375,765.0130004882812,765.2147827148438,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,spect,7,764.197265625,764.0618286132812,764.3245849609375,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,spect,8,762.8707275390625,762.6908569335938,763.0409545898438,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,spect,9,760.7357788085938,760.4829711914062,760.9764404296875,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,spect,10,757.4632568359375,757.0984497070312,757.8118286132812,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,spect,11,750.880859375,750.2573852539062,751.4551391601562,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,1,spect,12,583.9135131835938,580.876953125,586.7763671875,29626,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,spect,0,350.1882019042969,342.3470153808594,356.1864929199219,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,spect,1,508.9547424316406,501.6198425292969,513.8689575195312,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,spect,2,747.7125244140625,746.8723754882812,748.299072265625,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,spect,3,766.2781982421875,766.2059936523438,766.3297729492188,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,spect,4,765.8326416015625,765.7442016601562,765.8966064453125,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,spect,5,765.3711547851562,765.2646484375,765.447998046875,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,spect,6,764.6611328125,764.52734375,764.7591552734375,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,spect,7,763.715576171875,763.5469970703125,763.8419189453125,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,length,2,spect,8,762.2041625976562,761.9794921875,762.3770141601562,29918,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
