subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,pos,ADJ,gride,0,7.2167134284973145,5.599208354949951,8.675627708435059,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADJ,gride,1,9.367918968200684,7.436971187591553,11.169885635375977,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADJ,gride,2,11.17906379699707,9.401843070983887,12.551152229309082,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADJ,gride,3,13.090568542480469,11.735889434814453,13.8328275680542,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADJ,gride,4,15.55335521697998,14.695897102355957,16.225553512573242,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADJ,gride,5,16.040983200073242,15.369504928588867,16.7618465423584,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADJ,gride,6,17.203819274902344,16.70138931274414,17.988048553466797,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADJ,gride,7,17.58576011657715,17.0606632232666,18.51799774169922,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADJ,gride,8,19.317745208740234,18.82151985168457,20.210391998291016,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADJ,gride,9,21.206405639648438,20.630691528320312,22.285430908203125,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADJ,gride,10,22.522302627563477,22.049833297729492,23.27342987060547,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADJ,gride,11,24.09817123413086,23.746673583984375,24.814449310302734,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADJ,gride,12,24.659639358520508,23.88473892211914,25.37513542175293,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,0,4.3037800788879395,1.566442608833313,4.938426494598389,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,1,7.2179179191589355,6.792542934417725,7.610421180725098,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,2,8.512396812438965,8.116597175598145,8.80264949798584,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,3,9.178102493286133,8.914141654968262,9.41650390625,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,4,10.123775482177734,9.838401794433594,10.412468910217285,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,5,11.937917709350586,11.664722442626953,12.279540061950684,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,6,13.67908000946045,13.396804809570312,14.152907371520996,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,7,15.102002143859863,14.795236587524414,15.63070011138916,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,8,16.591978073120117,16.316646575927734,16.95463752746582,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,9,19.267473220825195,19.065080642700195,19.643918991088867,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,10,20.96760368347168,20.65778160095215,21.173173904418945,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,11,22.303951263427734,22.168907165527344,22.44334602355957,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADP,gride,12,22.28109359741211,21.990257263183594,22.42794418334961,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADV,gride,0,3.033778190612793,2.6557910442352295,3.6693100929260254,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADV,gride,1,3.90773344039917,3.394179582595825,4.6647725105285645,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADV,gride,2,4.782992362976074,4.311099529266357,5.533200263977051,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADV,gride,3,5.552685737609863,5.063690185546875,6.145538330078125,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADV,gride,4,6.560490608215332,6.111757755279541,7.029150009155273,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADV,gride,5,7.199906826019287,6.790320873260498,7.601084232330322,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADV,gride,6,8.14791488647461,7.809901714324951,8.437304496765137,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADV,gride,7,9.302162170410156,9.021196365356445,9.645639419555664,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,bert-base-uncased,pos,ADV,gride,8,10.391827583312988,10.06382942199707,10.85744571685791,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
