subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,pos,ADJ,gride,0,10.237187385559082,9.177755355834961,11.33540153503418,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,gride,1,7.209784507751465,6.224601745605469,8.008772850036621,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,gride,2,6.2124342918396,4.913301944732666,8.012073516845703,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,gride,3,9.431119918823242,8.549086570739746,10.234848022460938,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,gride,4,11.36522102355957,10.610588073730469,12.151124000549316,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,gride,5,12.98395824432373,12.064248085021973,13.801474571228027,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,gride,6,13.91324234008789,12.76550006866455,14.894841194152832,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,gride,7,14.679966926574707,13.286799430847168,15.66382884979248,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,gride,8,15.550783157348633,13.89695930480957,16.603731155395508,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,gride,9,16.803607940673828,14.708000183105469,17.981090545654297,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,gride,10,18.05957794189453,15.271584510803223,19.315448760986328,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,gride,11,19.358407974243164,16.29960060119629,20.764402389526367,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,gride,12,8.477585792541504,7.884632587432861,8.927393913269043,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,0,1.690718173980713,1.6181565523147583,1.7853127717971802,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,1,4.891805171966553,4.763545513153076,5.032044410705566,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,2,5.685375213623047,5.502370357513428,5.852509021759033,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,3,8.37934398651123,8.03465461730957,8.667440414428711,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,4,10.671609878540039,10.286704063415527,11.119049072265625,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,5,12.213069915771484,11.68769359588623,13.092869758605957,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,6,12.788528442382812,12.198931694030762,13.876867294311523,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,7,13.572181701660156,13.00780963897705,14.786365509033203,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,8,14.366147994995117,13.735859870910645,15.845637321472168,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,9,14.9814453125,14.371917724609375,16.584779739379883,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,10,15.360203742980957,14.51385498046875,17.016542434692383,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,11,15.750421524047852,14.926406860351562,17.458158493041992,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,gride,12,8.160249710083008,7.845795631408691,8.604534149169922,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,0,3.771009683609009,3.578518867492676,4.021021842956543,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,1,2.839637041091919,2.6453921794891357,3.038303852081299,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,2,2.8598594665527344,2.643371820449829,3.1602354049682617,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,3,3.909921169281006,3.6002936363220215,4.243493556976318,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,4,5.185352325439453,4.8060197830200195,5.5698018074035645,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,5,6.543956756591797,6.162914752960205,6.976226329803467,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,6,7.481821060180664,7.11824369430542,7.90436315536499,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,7,8.502626419067383,8.101240158081055,9.009098052978516,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,8,9.56092643737793,9.178385734558105,10.027246475219727,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,9,10.965023040771484,10.512504577636719,11.474858283996582,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,10,12.334628105163574,11.748247146606445,12.903523445129395,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,11,13.04727554321289,12.31928539276123,13.743383407592773,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,gride,12,6.428595066070557,6.304012775421143,6.534106254577637,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,0,0.6929194927215576,0.6297600865364075,0.7469562888145447,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,1,3.262371778488159,3.1390624046325684,3.4091055393218994,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,2,4.374355316162109,4.111225605010986,4.512277603149414,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,3,5.709418773651123,5.532278537750244,5.852267742156982,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,4,6.986027717590332,6.633424282073975,7.298035144805908,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,5,7.974530220031738,7.493064880371094,8.531002044677734,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,6,8.398177146911621,7.910569190979004,8.925965309143066,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,7,8.94509506225586,8.389654159545898,9.522046089172363,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,8,9.12348461151123,8.550917625427246,9.668960571289062,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,9,9.4605712890625,8.793376922607422,10.1857271194458,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,10,9.636880874633789,8.982383728027344,10.476849555969238,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,11,9.878938674926758,9.110612869262695,10.788229942321777,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,gride,12,5.9196672439575195,5.570113658905029,6.271369457244873,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,CCONJ,gride,0,0.4386257529258728,0.3721584677696228,0.49426600337028503,6627,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,CCONJ,gride,1,9.316566467285156,8.967717170715332,9.831493377685547,6627,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,CCONJ,gride,2,9.780952453613281,9.468320846557617,10.402148246765137,6627,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,CCONJ,gride,3,11.113871574401855,10.830863952636719,11.630888938903809,6627,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,CCONJ,gride,4,12.402880668640137,12.183923721313477,12.772481918334961,6627,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
