subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,pos,ADJ,lpca99,0,513.625,510.17498779296875,518.0,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,lpca99,1,448.375,444.3500061035156,454.6499938964844,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,lpca99,2,252.125,233.52499389648438,282.67498779296875,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,lpca99,3,12.75,4.0,31.375,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,lpca99,4,20.75,9.0,43.849998474121094,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,lpca99,5,29.125,15.175000190734863,56.5,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,lpca99,6,42.5,25.174999237060547,73.9749984741211,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,lpca99,7,63.125,42.349998474121094,100.2750015258789,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,lpca99,8,96.125,71.3499984741211,139.5749969482422,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,lpca99,9,144.0,114.5250015258789,193.875,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,lpca99,10,204.75,172.52499389648438,258.5249938964844,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,lpca99,11,281.0,247.52499389648438,334.70001220703125,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADJ,lpca99,12,197.75,188.1750030517578,210.60000610351562,12648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,0,63.5,61.0,68.0,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,1,150.25,145.52499389648438,154.64999389648438,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,2,25.0,23.174999237060547,27.825000762939453,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,3,1.0,1.0,1.0,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,4,1.0,1.0,1.0,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,5,1.0,1.0,1.0,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,6,1.0,1.0,1.0,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,7,5.25,3.0,8.824999809265137,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,8,20.0,15.175000190734863,26.825000762939453,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,9,53.375,45.17499923706055,64.6500015258789,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,10,107.75,97.17500305175781,121.82499694824219,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,11,178.0,165.35000610351562,194.64999389648438,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADP,lpca99,12,177.5,169.0500030517578,181.8249969482422,17557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,0,252.0,242.35000610351562,265.95001220703125,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,1,252.375,245.0500030517578,259.82501220703125,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,2,43.375,39.349998474121094,47.29999923706055,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,3,1.0,1.0,1.0,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,4,1.0,1.0,1.0,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,5,1.0,1.0,1.0,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,6,1.0,1.0,1.0,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,7,1.0,1.0,1.0,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,8,1.0,1.0,1.0,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,9,1.25,1.0,2.6500000953674316,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,10,11.125,7.349999904632568,16.125,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,11,39.875,32.70000076293945,48.775001525878906,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,ADV,lpca99,12,53.875,50.349998474121094,58.474998474121094,9913,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,lpca99,0,43.875,42.17499923706055,47.474998474121094,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,lpca99,1,121.375,115.05000305175781,125.82499694824219,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,lpca99,2,20.875,17.350000381469727,23.649999618530273,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,lpca99,3,1.0,1.0,1.0,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,lpca99,4,1.0,1.0,1.0,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,lpca99,5,1.0,1.0,1.0,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,lpca99,6,1.625,1.0,2.825000047683716,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
raw,gpt2,pos,AUX,lpca99,7,5.25,2.3499999046325684,7.0,11526,mean,en_ewt-ud-train_sentences.csv,30000,20,8,3000,3000
