subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,relation_type,advmod,fishers,0,5.693329811096191,5.544122695922852,5.8484063148498535,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,fishers,1,5.144681930541992,5.0593085289001465,5.215913772583008,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,fishers,2,5.526095867156982,5.480941295623779,5.593549728393555,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,fishers,3,6.204295635223389,6.0562286376953125,6.390434741973877,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,fishers,4,6.820867538452148,6.7462687492370605,6.92635440826416,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,fishers,5,6.9940032958984375,6.858154296875,7.097532749176025,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,fishers,6,7.52628231048584,7.378110408782959,7.735717296600342,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,fishers,7,7.857605457305908,7.662374019622803,8.033687591552734,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,fishers,8,8.667922019958496,8.52282428741455,8.802372932434082,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,fishers,9,9.631500244140625,9.439298629760742,9.769232749938965,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,fishers,10,10.198897361755371,10.115757942199707,10.348758697509766,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,fishers,11,10.283150672912598,10.168110847473145,10.449511528015137,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,fishers,12,9.661354064941406,9.54050350189209,9.752710342407227,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
