subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,relation_type,advmod,gride,0,3.3641257286071777,2.8942275047302246,3.7165284156799316,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,gride,1,4.323030471801758,3.695709466934204,4.813754081726074,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,gride,2,5.139358043670654,4.5807294845581055,5.65998649597168,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,gride,3,5.832727432250977,5.38113260269165,6.238667964935303,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,gride,4,6.759181022644043,6.364546775817871,7.076009750366211,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,gride,5,7.524219036102295,7.166694164276123,7.898489952087402,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,gride,6,8.587017059326172,8.119795799255371,9.11447525024414,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,gride,7,9.72615909576416,9.350449562072754,10.165072441101074,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,gride,8,10.795319557189941,10.364033699035645,11.055693626403809,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,gride,9,13.569449424743652,13.239219665527344,13.809977531433105,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,gride,10,16.362552642822266,15.992666244506836,16.573650360107422,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,gride,11,17.889381408691406,17.59760093688965,18.08268928527832,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,gride,12,18.78761100769043,18.287662506103516,19.119844436645508,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,0,7.157139778137207,6.048127174377441,8.70512866973877,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,1,8.981608390808105,7.610422611236572,10.9113130569458,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,2,10.375718116760254,8.417037963867188,12.182826042175293,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,3,11.960416793823242,9.618717193603516,13.500858306884766,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,4,14.024458885192871,11.785874366760254,15.36408805847168,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,5,14.618410110473633,12.858110427856445,15.694942474365234,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,6,15.683967590332031,13.948423385620117,16.5965518951416,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,7,16.10044288635254,14.396451950073242,17.038101196289062,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,8,17.73638916015625,16.60220718383789,18.407365798950195,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,9,19.458709716796875,18.64185333251953,20.082935333251953,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,10,20.832399368286133,20.264297485351562,21.52195930480957,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,11,22.459909439086914,21.878049850463867,22.93620491027832,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,gride,12,22.868240356445312,22.1875,23.672685623168945,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,0,3.9226818084716797,1.1162892580032349,6.2889723777771,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,1,8.57052230834961,8.129173278808594,9.055248260498047,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,2,10.153311729431152,9.747140884399414,10.590603828430176,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,3,10.047686576843262,9.579379081726074,10.591117858886719,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,4,10.794022560119629,10.345979690551758,11.207799911499023,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,5,12.279374122619629,11.782807350158691,12.655176162719727,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,6,13.781573295593262,13.251337051391602,14.010677337646484,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,7,14.978726387023926,14.58421516418457,15.304250717163086,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,8,16.421297073364258,15.842920303344727,16.832712173461914,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,9,18.95913314819336,18.462291717529297,19.31861686706543,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,10,20.640254974365234,20.287837982177734,20.991296768188477,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,11,21.943315505981445,21.470670700073242,22.222412109375,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,gride,12,21.803754806518555,21.331714630126953,22.109004974365234,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,0,23.42711639404297,18.694551467895508,28.4346981048584,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,1,25.006174087524414,20.924606323242188,31.819438934326172,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,2,25.767847061157227,21.651960372924805,29.083879470825195,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,3,26.488895416259766,23.065176010131836,28.85228729248047,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,4,26.44045066833496,24.34990119934082,28.173959732055664,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,5,24.42635726928711,23.070552825927734,25.49606704711914,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,6,25.636377334594727,24.425689697265625,26.722957611083984,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,7,26.272403717041016,24.891117095947266,27.098037719726562,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,8,25.747724533081055,24.786300659179688,26.339065551757812,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,9,26.839323043823242,25.730558395385742,27.411605834960938,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,10,25.988754272460938,24.98055648803711,26.54257583618164,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,11,26.697559356689453,25.590805053710938,27.373371124267578,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,gride,12,28.962909698486328,28.4300479888916,29.538312911987305,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,0,0.23041412234306335,0.18097886443138123,0.285222589969635,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,1,5.966498374938965,5.564359188079834,6.414983749389648,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,2,8.820362091064453,8.26258659362793,9.430212020874023,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,3,10.00456428527832,9.665509223937988,10.302186965942383,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,4,11.378807067871094,11.09835147857666,11.577277183532715,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,5,13.2511568069458,13.042095184326172,13.506330490112305,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,6,14.59477710723877,14.451683044433594,14.950618743896484,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,7,16.825023651123047,16.486228942871094,17.292835235595703,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,8,18.2913818359375,17.938549041748047,18.696706771850586,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,9,20.557180404663086,20.09233283996582,21.054170608520508,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,10,21.610729217529297,21.187084197998047,21.958858489990234,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,11,22.713747024536133,22.007259368896484,23.19005012512207,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,gride,12,23.475187301635742,22.757598876953125,23.95343589782715,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,0,2.499112129211426,0.8441810607910156,6.925173282623291,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,1,7.4583539962768555,6.776308059692383,8.361201286315918,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,2,9.160381317138672,8.357208251953125,10.124897956848145,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,3,9.842432022094727,9.014663696289062,10.676998138427734,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,4,10.433674812316895,9.91441822052002,10.947094917297363,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,5,12.117465019226074,11.825186729431152,12.492697715759277,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,6,13.387947082519531,13.229811668395996,13.666717529296875,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,7,14.493983268737793,14.286352157592773,14.857061386108398,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,8,14.822738647460938,14.648600578308105,15.259758949279785,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,9,16.23528289794922,15.877105712890625,16.597623825073242,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,10,17.524717330932617,16.934593200683594,18.037904739379883,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,11,17.51690673828125,17.078628540039062,18.107072830200195,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,nsubj,gride,12,16.758949279785156,16.36239242553711,17.529987335205078,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,obj,gride,0,8.565851211547852,7.055705547332764,10.802331924438477,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,obj,gride,1,10.081233024597168,8.562487602233887,12.346768379211426,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,obj,gride,2,11.33663558959961,10.08036994934082,13.691468238830566,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,obj,gride,3,12.484046936035156,11.414706230163574,14.37528133392334,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,obj,gride,4,14.069543838500977,13.052452087402344,15.861949920654297,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,obj,gride,5,15.530004501342773,14.479558944702148,16.885547637939453,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
