subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,relation_type,advmod,iso,0,0.06691237539052963,0.06540296971797943,0.06852807104587555,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,iso,1,0.06635409593582153,0.06487312912940979,0.06791330873966217,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,iso,2,0.07565546035766602,0.0741884857416153,0.07702967524528503,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,iso,3,0.08463846147060394,0.08325409144163132,0.08595286309719086,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,iso,4,0.09433822333812714,0.09309501945972443,0.09572922438383102,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,iso,5,0.09969543665647507,0.09843482077121735,0.1012272983789444,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,iso,6,0.10975620895624161,0.10861989110708237,0.11128546297550201,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,iso,7,0.12100742012262344,0.11991208791732788,0.12275800108909607,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,iso,8,0.1313641369342804,0.12998785078525543,0.1329764872789383,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,iso,9,0.14957621693611145,0.14820972084999084,0.15162986516952515,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,iso,10,0.16269361972808838,0.16143473982810974,0.16453120112419128,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,iso,11,0.16372035443782806,0.1624697595834732,0.16568373143672943,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,iso,12,0.13096573948860168,0.12746508419513702,0.13588343560695648,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,0,0.1739523708820343,0.16928644478321075,0.17694330215454102,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,1,0.16754882037639618,0.1629338264465332,0.17028380930423737,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,2,0.17408213019371033,0.16981792449951172,0.1766497641801834,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,3,0.16507622599601746,0.16154250502586365,0.16726328432559967,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,4,0.1626865565776825,0.15929900109767914,0.16458623111248016,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,5,0.16172605752944946,0.15869520604610443,0.16335102915763855,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,6,0.16174903512001038,0.1590857058763504,0.1632528305053711,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,7,0.16149869561195374,0.15875878930091858,0.1629326492547989,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,8,0.16364721953868866,0.16119013726711273,0.1651240438222885,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,9,0.17051364481449127,0.16806632280349731,0.17198438942432404,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,10,0.17499350011348724,0.1734357327222824,0.17632080614566803,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,11,0.1703108251094818,0.1686842441558838,0.1716870367527008,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,iso,12,0.17392204701900482,0.17100392282009125,0.17689906060695648,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,iso,0,0.02597460150718689,0.025440489873290062,0.026374075561761856,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,iso,1,0.03245910257101059,0.031882382929325104,0.032958198338747025,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,iso,2,0.03878035396337509,0.03813569247722626,0.039367325603961945,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,iso,3,0.04914523661136627,0.04842234402894974,0.04978332296013832,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
