subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,relation_type,advmod,mom,0,7.26762580871582,6.962585926055908,7.708075046539307,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,mom,1,8.113290786743164,7.862636089324951,8.500904083251953,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,mom,2,8.94349479675293,8.71903133392334,9.295839309692383,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,mom,3,9.138346672058105,8.933357238769531,9.433812141418457,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,mom,4,9.677135467529297,9.541322708129883,9.911011695861816,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,mom,5,10.708466529846191,10.581912994384766,10.901385307312012,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,mom,6,11.573902130126953,11.443399429321289,11.75423526763916,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,mom,7,12.66567611694336,12.545629501342773,12.79425048828125,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,mom,8,13.71704387664795,13.538878440856934,13.86199951171875,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,mom,9,16.26439666748047,16.076292037963867,16.407516479492188,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,mom,10,18.50489616394043,18.29859161376953,18.74110984802246,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,mom,11,20.11374282836914,19.950613021850586,20.303911209106445,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,mom,12,21.187957763671875,20.737701416015625,21.52619171142578,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,mom,0,13.245837211608887,12.719082832336426,13.674002647399902,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,mom,1,14.916337966918945,13.996565818786621,15.405760765075684,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,mom,2,15.626911163330078,14.765202522277832,15.990586280822754,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,mom,3,16.55262565612793,15.830461502075195,16.89160919189453,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
