subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,relation_type,advmod,rand,0,0.13468000292778015,0.12813608348369598,0.1401212215423584,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,rand,1,0.15419013798236847,0.14927810430526733,0.15949127078056335,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,rand,2,0.18655310571193695,0.18041998147964478,0.1919788122177124,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,rand,3,0.1841006577014923,0.17830850183963776,0.18828658759593964,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,rand,4,0.20588389039039612,0.2000395953655243,0.21077106893062592,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,rand,5,0.2364932745695114,0.23383699357509613,0.23945753276348114,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,rand,6,0.2292705476284027,0.22450686991214752,0.23422233760356903,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,rand,7,0.23030097782611847,0.22731547057628632,0.23288236558437347,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,rand,8,0.24078893661499023,0.23806987702846527,0.24344097077846527,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,rand,9,0.23402521014213562,0.23130472004413605,0.2371799349784851,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,rand,10,0.28042709827423096,0.277742862701416,0.2836003601551056,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,rand,11,0.3487464189529419,0.34621965885162354,0.35219693183898926,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,rand,12,0.3041997253894806,0.29867294430732727,0.30795663595199585,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,0,0.07184068113565445,0.0699256882071495,0.07461222261190414,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,1,0.10207673162221909,0.09912318736314774,0.10468288511037827,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,2,0.13928422331809998,0.13721731305122375,0.14203672111034393,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,3,0.16423222422599792,0.16054201126098633,0.16703921556472778,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,4,0.1974121332168579,0.19475355744361877,0.20055736601352692,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,5,0.23253794014453888,0.2302962690591812,0.23488959670066833,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,6,0.24491305649280548,0.24198110401630402,0.24783945083618164,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,7,0.2507534623146057,0.24827149510383606,0.2534020245075226,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,8,0.26147031784057617,0.259245365858078,0.26410308480262756,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,9,0.2558949589729309,0.2538946568965912,0.2590901553630829,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,10,0.28640228509902954,0.28298673033714294,0.2890002727508545,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,11,0.36027830839157104,0.35751238465309143,0.3632112443447113,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,rand,12,0.3013545274734497,0.29823073744773865,0.3039591312408447,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
