subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,relation_type,advmod,tle,0,,,,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,tle,1,5.814825534820557,5.58933687210083,6.071528911590576,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,tle,2,6.040822982788086,5.844418525695801,6.2780985832214355,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,tle,3,5.988401412963867,5.718595027923584,6.214143753051758,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,tle,4,6.141716003417969,5.889215469360352,6.2714128494262695,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,tle,5,6.402851581573486,6.189939022064209,6.560826778411865,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,tle,6,6.743142604827881,6.476578235626221,6.894336223602295,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,tle,7,6.982419490814209,6.768388748168945,7.131654262542725,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,tle,8,7.2585835456848145,7.089878559112549,7.37828254699707,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,tle,9,7.739716529846191,7.589534282684326,7.964292526245117,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,tle,10,8.193502426147461,7.870038032531738,8.58426284790039,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,tle,11,8.488821983337402,8.002138137817383,8.931218147277832,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,tle,12,8.8743257522583,8.40252685546875,9.38351058959961,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,0,4.472221851348877,3.703882932662964,5.195512294769287,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,1,5.796989440917969,4.831002235412598,6.755326271057129,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,2,5.8496904373168945,4.889142036437988,6.6485466957092285,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,3,6.104903221130371,5.183935165405273,6.8260273933410645,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,4,6.390451431274414,5.6878204345703125,6.995862007141113,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,5,6.6329498291015625,6.002106189727783,7.123102188110352,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,6,6.907192230224609,6.327748775482178,7.3809380531311035,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,7,7.0607590675354,6.441219329833984,7.5301666259765625,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,8,7.447787761688232,6.688576698303223,7.89093017578125,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,9,7.607222557067871,6.8170390129089355,8.0837984085083,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,10,7.8183979988098145,6.931336402893066,8.283247947692871,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,11,8.000709533691406,7.0212860107421875,8.746901512145996,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,tle,12,8.462396621704102,7.621969223022461,9.17287540435791,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,tle,0,,,,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,tle,1,7.4495158195495605,7.302588939666748,7.58123254776001,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,tle,2,8.76739501953125,8.64105224609375,8.885787963867188,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,tle,3,8.499991416931152,8.294576644897461,8.659402847290039,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,tle,4,8.856828689575195,8.715373039245605,8.986381530761719,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,tle,5,9.520352363586426,9.311689376831055,9.756633758544922,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,tle,6,9.801643371582031,9.55457878112793,10.193288803100586,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,tle,7,10.043305397033691,9.731122970581055,10.456231117248535,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,tle,8,10.349384307861328,10.085240364074707,10.673934936523438,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
