subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,bert-base-uncased,relation_type,advmod,twonn,0,0.1650867611169815,0.16003000736236572,0.1696244776248932,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,twonn,1,0.16074344515800476,0.1578235924243927,0.16471460461616516,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,twonn,2,0.15693913400173187,0.15436036884784698,0.1606466919183731,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,twonn,3,0.15654851496219635,0.15383076667785645,0.1601642370223999,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,twonn,4,0.1554134637117386,0.15277497470378876,0.15907135605812073,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,twonn,5,0.1539427936077118,0.15136204659938812,0.15755288302898407,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,twonn,6,0.15218915045261383,0.14965257048606873,0.15582884848117828,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,twonn,7,0.15143486857414246,0.14898709952831268,0.1549992859363556,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,twonn,8,0.1511518955230713,0.14867877960205078,0.1547318547964096,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,twonn,9,0.15015150606632233,0.14772789180278778,0.15374919772148132,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,twonn,10,0.14844991266727448,0.14607283473014832,0.15198208391666412,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,twonn,11,0.14868485927581787,0.14632852375507355,0.15225224196910858,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,advmod,twonn,12,0.1518622189760208,0.14943484961986542,0.15541981160640717,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,0,0.15391097962856293,0.14744824171066284,0.15679728984832764,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,1,0.15394219756126404,0.14718028903007507,0.15822309255599976,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,2,0.15117916464805603,0.1447252631187439,0.1553630232810974,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,3,0.15041382610797882,0.1441192775964737,0.15459023416042328,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,4,0.14914390444755554,0.14302586019039154,0.15325994789600372,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,5,0.1480368673801422,0.1420770138502121,0.15206395089626312,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,6,0.14703722298145294,0.14118370413780212,0.1509263515472412,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,7,0.1468045711517334,0.1410803347826004,0.15067580342292786,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,8,0.14650774002075195,0.14090143144130707,0.15037281811237335,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,9,0.1465182900428772,0.14095823466777802,0.15037930011749268,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,10,0.14529097080230713,0.13981223106384277,0.14914782345294952,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,11,0.14555051922798157,0.14005538821220398,0.1493743509054184,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,amod,twonn,12,0.14885205030441284,0.14320415258407593,0.1526217758655548,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,0,16.656709671020508,8.984756469726562,22.113004684448242,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,1,0.18967966735363007,0.18536122143268585,0.19507326185703278,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,2,0.18527697026729584,0.18053822219371796,0.1903829574584961,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,3,0.18421804904937744,0.17939959466457367,0.18985116481781006,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,4,0.1798870861530304,0.17536768317222595,0.18483999371528625,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,5,0.17725476622581482,0.17265067994594574,0.1821519434452057,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,6,0.1749509871006012,0.17019130289554596,0.17981386184692383,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,7,0.17426052689552307,0.1694602072238922,0.1792624145746231,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,8,0.17376545071601868,0.1690882444381714,0.1790187656879425,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,9,0.17251375317573547,0.16800349950790405,0.17775483429431915,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,10,0.1712256520986557,0.1667044758796692,0.1765674352645874,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,11,0.17139309644699097,0.1669083535671234,0.1766294538974762,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,case,twonn,12,0.1767767369747162,0.1724238246679306,0.18194083869457245,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,0,0.14576491713523865,0.14269842207431793,0.14952601492404938,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,1,0.1429552137851715,0.1410626322031021,0.1463722288608551,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,2,0.14069834351539612,0.13897010684013367,0.14410731196403503,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,3,0.13992556929588318,0.13832440972328186,0.1432470679283142,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,4,0.13893188536167145,0.13734500110149384,0.1422080099582672,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,5,0.1380242556333542,0.13644228875637054,0.1412419229745865,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,6,0.13730865716934204,0.13569539785385132,0.14044566452503204,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,7,0.1369030624628067,0.1352940946817398,0.14005157351493835,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,8,0.13714753091335297,0.1355409026145935,0.14026278257369995,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,9,0.13718898594379425,0.1355919986963272,0.14031043648719788,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,10,0.1364232897758484,0.1347784847021103,0.13953760266304016,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,11,0.13674688339233398,0.13505469262599945,0.13990971446037292,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,conj,twonn,12,0.14033055305480957,0.13861270248889923,0.14363840222358704,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,twonn,0,77.23580932617188,75.43647003173828,78.70355987548828,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,twonn,1,0.18682952225208282,0.18361955881118774,0.1944575011730194,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,twonn,2,0.1829260140657425,0.17948049306869507,0.19094713032245636,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,twonn,3,0.18079021573066711,0.17725080251693726,0.18879307806491852,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,twonn,4,0.17608605325222015,0.17292743921279907,0.18367254734039307,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,twonn,5,0.17309854924678802,0.1701374053955078,0.18042020499706268,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,bert-base-uncased,relation_type,det,twonn,6,0.17058391869068146,0.16776609420776367,0.17768675088882446,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
