subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,relation_type,advmod,corrint,0,1.193224549293518,1.1025662422180176,1.3641202449798584,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,corrint,1,1.2854032516479492,1.2278395891189575,1.347746729850769,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,corrint,2,1.7036712169647217,1.5872901678085327,1.7870359420776367,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,corrint,3,4.019035816192627,3.578672170639038,4.322804927825928,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,corrint,4,3.7045652866363525,3.3444983959198,3.9018492698669434,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,corrint,5,3.3690905570983887,3.1559581756591797,3.510068655014038,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,corrint,6,3.316561698913574,3.2006983757019043,3.4125096797943115,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,corrint,7,3.448279619216919,3.3191637992858887,3.6257472038269043,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,corrint,8,3.6950886249542236,3.5262715816497803,4.015394687652588,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,corrint,9,4.463119029998779,4.228964328765869,4.840585231781006,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
