subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,relation_type,advmod,lpca99,0,248.875,241.875,253.8249969482422,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,lpca99,1,252.75,249.35000610351562,257.4750061035156,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,lpca99,2,43.0,41.0,46.474998474121094,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,lpca99,3,1.0,1.0,1.0,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,lpca99,4,1.0,1.0,1.0,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,lpca99,5,1.0,1.0,1.0,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,lpca99,6,1.0,1.0,1.0,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,lpca99,7,1.0,1.0,1.0,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,lpca99,8,1.0,1.0,1.0,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,lpca99,9,1.875,1.0,3.6500000953674316,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,lpca99,10,13.875,12.0,18.299999237060547,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,lpca99,11,45.0,41.0,53.42499923706055,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
