subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,relation_type,advmod,mom,0,9.435500144958496,9.313129425048828,9.653046607971191,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,mom,1,7.558859348297119,7.3493804931640625,7.769382953643799,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,mom,2,7.096940517425537,6.920066833496094,7.26492977142334,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,mom,3,7.893581390380859,7.7094035148620605,8.07533073425293,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,mom,4,8.919797897338867,8.743119239807129,9.119750022888184,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,mom,5,9.961673736572266,9.811169624328613,10.175439834594727,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,mom,6,10.622381210327148,10.523015022277832,10.8237886428833,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,mom,7,11.317276000976562,11.161474227905273,11.529350280761719,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,mom,8,12.230192184448242,12.049385070800781,12.423315048217773,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,mom,9,13.30180549621582,13.13265323638916,13.528573036193848,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,mom,10,14.409730911254883,14.246578216552734,14.613380432128906,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,mom,11,14.974870681762695,14.841225624084473,15.10961627960205,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,mom,12,7.260699272155762,7.139294624328613,7.3405232429504395,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,mom,0,14.468329429626465,14.237333297729492,14.668594360351562,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,mom,1,13.36598014831543,13.186134338378906,13.626168251037598,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
