subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,relation_type,advmod,spect,0,310.87603759765625,298.6670837402344,320.33892822265625,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,spect,1,455.4324645996094,442.7640075683594,464.5295715332031,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,spect,2,739.3951416015625,737.5133666992188,740.763916015625,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,spect,3,765.6409912109375,765.4781494140625,765.7584228515625,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,spect,4,765.2920532226562,765.1036987304688,765.4276733398438,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,spect,5,764.9581298828125,764.7479858398438,765.1109008789062,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,spect,6,764.4346313476562,764.1910400390625,764.6136474609375,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,spect,7,763.6304321289062,763.3321533203125,763.8473510742188,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,spect,8,762.3043212890625,761.9169311523438,762.5864868164062,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,spect,9,760.1693115234375,759.6309204101562,760.5564575195312,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,spect,10,756.7787475585938,756.0017700195312,757.335205078125,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,spect,11,750.2850341796875,749.0657958984375,751.1503295898438,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,spect,12,636.7894287109375,631.6052856445312,640.7393188476562,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,0,134.541748046875,128.92034912109375,141.7614288330078,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,1,220.5316162109375,201.0260772705078,240.25308227539062,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,2,662.48828125,650.3082885742188,673.056640625,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,3,758.7132568359375,757.4487915039062,759.7801513671875,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,4,757.6470947265625,756.2371215820312,758.8436889648438,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,5,756.6214599609375,755.0808715820312,757.9341430664062,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,6,754.9896850585938,753.231689453125,756.4879760742188,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,7,752.407470703125,750.3043212890625,754.1983642578125,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,8,748.3093872070312,745.6611328125,750.572021484375,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,9,742.1721801757812,738.7327270507812,745.1371459960938,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,10,732.666015625,728.0040283203125,736.6709594726562,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,11,717.5331420898438,711.0093383789062,723.169677734375,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,amod,spect,12,545.742919921875,540.185546875,552.3148803710938,9312,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,0,271.57379150390625,254.7495574951172,284.63165283203125,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,1,421.3663635253906,400.7549133300781,435.9107666015625,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,2,736.161865234375,732.6083984375,738.5823974609375,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,3,765.13916015625,764.8069458007812,765.3654174804688,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,4,764.2115478515625,763.7711181640625,764.5075073242188,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,5,763.3370361328125,762.7918701171875,763.7006225585938,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,6,761.939697265625,761.2239990234375,762.4135131835938,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,7,760.229248046875,759.305908203125,760.83642578125,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,8,757.6275634765625,756.3882446289062,758.435302734375,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,9,753.0285034179688,751.2540893554688,754.1824951171875,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,10,745.1695556640625,742.5245361328125,746.8908081054688,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,11,732.8890380859375,728.9297485351562,735.48291015625,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,case,spect,12,578.8031005859375,571.89501953125,584.0935668945312,16577,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,0,104.2926025390625,102.58198547363281,106.580810546875,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,1,46.859073638916016,45.40994644165039,48.344825744628906,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,2,36.730735778808594,35.77030944824219,37.48812484741211,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,3,34.61911392211914,33.8541374206543,35.24840545654297,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,4,32.815189361572266,32.07463836669922,33.37528610229492,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,5,33.430904388427734,32.62954330444336,33.95197296142578,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,6,36.08068084716797,35.21449279785156,36.587310791015625,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,7,38.95015335083008,37.96097946166992,39.458335876464844,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,8,42.239341735839844,41.25962448120117,42.89116668701172,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,9,40.727943420410156,39.877811431884766,41.41334533691406,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,10,43.304683685302734,42.518646240234375,43.881160736083984,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,11,51.79143142700195,50.893592834472656,52.48823165893555,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,conj,spect,12,593.5269775390625,585.8151245117188,601.2189331054688,7557,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,0,461.1981506347656,453.2046813964844,468.7347717285156,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,1,621.8619995117188,616.41943359375,627.0859375,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,2,758.158935546875,757.7186279296875,758.5861206054688,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,3,767.1064453125,767.0677490234375,767.14453125,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,4,766.8463134765625,766.7980346679688,766.8951416015625,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,5,766.5042724609375,766.4428100585938,766.5672607421875,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,6,766.0015258789062,765.9212036132812,766.0867309570312,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,7,765.3792724609375,765.2742309570312,765.4910888671875,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,8,764.3140869140625,764.166259765625,764.472412109375,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,9,762.3204956054688,762.0879516601562,762.5668334960938,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,10,759.0294799804688,758.6688842773438,759.41845703125,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,11,753.7078857421875,753.1387939453125,754.3434448242188,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,det,spect,12,623.7210693359375,620.5484008789062,626.99365234375,15562,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,0,451.44854736328125,445.0267028808594,456.9515380859375,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,1,606.1603393554688,601.7381591796875,609.612060546875,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,2,756.7569580078125,756.3450927734375,757.0665283203125,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,3,767.1441650390625,767.11181640625,767.1682739257812,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,4,767.0440673828125,767.0068359375,767.0707397460938,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,5,766.9342041015625,766.8916625976562,766.9634399414062,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,6,766.7496948242188,766.6997680664062,766.7837524414062,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,7,766.4696655273438,766.4075317382812,766.51220703125,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,8,766.0006103515625,765.9193725585938,766.0562744140625,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,9,765.2639770507812,765.1526489257812,765.3402099609375,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,10,764.1295166015625,763.971923828125,764.236328125,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,11,761.6767578125,761.4229736328125,761.8493041992188,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,nsubj,spect,12,692.5952758789062,690.8432006835938,693.848876953125,15648,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,0,114.4620590209961,113.0180892944336,116.04109954833984,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,1,54.50334548950195,53.41616439819336,55.54854965209961,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,2,324.693359375,265.1317138671875,389.5177001953125,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,3,692.4688720703125,668.7056274414062,713.44384765625,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,4,684.1934814453125,658.107666015625,707.2562866210938,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,5,676.1259765625,647.8155517578125,701.1260986328125,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,6,663.5108642578125,632.0485229492188,691.4375610351562,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,7,646.6113891601562,611.199462890625,678.3045043945312,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,8,620.3718872070312,579.458740234375,657.520263671875,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,9,585.3817138671875,538.0922241210938,629.0972900390625,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,10,537.25048828125,483.19415283203125,588.5718994140625,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,11,464.72833251953125,404.444580078125,524.2727661132812,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obj,spect,12,565.8995361328125,555.8978271484375,577.0704345703125,9685,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,0,110.21514892578125,108.66474914550781,111.8382339477539,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,1,50.49470520019531,49.48090362548828,51.55962371826172,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,2,60.58769989013672,36.0262565612793,105.31474304199219,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,3,356.9855041503906,135.47930908203125,511.29339599609375,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,4,337.864013671875,125.60618591308594,491.701416015625,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,5,321.34613037109375,117.49652099609375,474.13555908203125,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,6,298.8692626953125,106.57022094726562,449.6398620605469,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,7,272.0002136230469,97.95825958251953,417.7402038574219,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,8,236.8197479248047,86.66468811035156,373.322265625,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,9,202.91470336914062,73.97059631347656,328.2497863769531,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,10,164.30064392089844,58.16410446166992,274.5780029296875,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,11,124.33723449707031,60.390689849853516,206.76158142089844,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,obl,spect,12,596.1414794921875,587.6488647460938,604.0748291015625,8743,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,0,200.838134765625,199.162109375,202.53611755371094,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,1,287.4692077636719,270.8374938964844,302.2362060546875,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,2,702.6473388671875,697.04052734375,707.56494140625,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,3,762.0660400390625,761.5142822265625,762.5499267578125,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,4,761.142333984375,760.50146484375,761.6966552734375,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,5,759.81640625,759.0501708984375,760.4745483398438,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,6,758.2447509765625,757.3287353515625,759.0328369140625,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,7,755.0564575195312,753.8632202148438,756.09326171875,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,8,750.5811157226562,748.9916381835938,751.97216796875,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,9,743.8887939453125,741.7232055664062,745.8052978515625,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,10,733.7354736328125,730.7153930664062,736.425537109375,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,11,713.7953491210938,709.1735229492188,717.94482421875,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,punct,spect,12,617.664794921875,613.7727661132812,621.0613403320312,22123,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,0,313.7423095703125,304.6011657714844,323.45196533203125,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,1,486.88555908203125,477.1610107421875,495.79638671875,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,2,743.66748046875,742.3780517578125,744.9797973632812,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,3,766.0667114257812,765.9606323242188,766.1763305664062,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,4,765.8289794921875,765.7086791992188,765.9522705078125,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,5,765.5902709960938,765.456787109375,765.7276611328125,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,6,765.2325439453125,765.0794677734375,765.3905029296875,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,7,764.6578369140625,764.4706420898438,764.8458251953125,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,8,763.7584228515625,763.5195922851562,763.9957275390625,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,9,762.3428955078125,762.02197265625,762.6572875976562,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,10,760.1043701171875,759.6514282226562,760.543701171875,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,11,755.9466552734375,755.2570190429688,756.60546875,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,root,spect,12,627.9662475585938,623.2994384765625,632.6232299804688,10046,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
