subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,max_per_class,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
raw,gpt2,relation_type,advmod,tle,0,2.32393217086792,2.32393217086792,2.32393217086792,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,tle,1,4.063836574554443,3.9229111671447754,4.24858283996582,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,tle,2,4.3975138664245605,4.27606201171875,4.59054708480835,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,tle,3,4.850337505340576,4.746849536895752,5.045862197875977,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,tle,4,5.147941589355469,4.978602886199951,5.345781326293945,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,tle,5,5.49044132232666,5.253897190093994,5.770162582397461,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,tle,6,5.669066905975342,5.376595497131348,5.920998573303223,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,tle,7,5.896002769470215,5.654989242553711,6.115931034088135,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,tle,8,6.065042972564697,5.875450611114502,6.2816162109375,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,tle,9,6.186175346374512,5.9338698387146,6.37747049331665,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
raw,gpt2,relation_type,advmod,tle,10,6.293201923370361,5.986708164215088,6.495426654815674,10307,mean,en_ewt-ud-train_sentences.csv,30000,20,8,30000,3000
