subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_freq,bert-base-uncased,index,1,lpca,0,30.625,30.0,31.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,1,lpca,1,41.625,40.17499923706055,42.82500076293945,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,1,lpca,2,49.625,48.17499923706055,50.82500076293945,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,1,lpca,3,60.125,59.0,61.82500076293945,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,1,lpca,4,53.0,52.0,54.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,1,lpca,5,55.0,54.0,56.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,1,lpca,6,59.125,58.0,60.82500076293945,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,1,lpca,7,62.25,61.0,63.82500076293945,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,1,lpca,8,64.0,63.0,65.82499694824219,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,1,lpca,9,73.125,71.3499984741211,74.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,1,lpca,10,69.875,68.0,71.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,1,lpca,11,66.875,65.0,70.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,1,lpca,12,27.125,26.0,28.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,0,65.875,63.17499923706055,70.6500015258789,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,1,106.125,100.5250015258789,113.30000305175781,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,2,130.375,123.5250015258789,137.64999389648438,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,3,143.125,136.6999969482422,149.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,4,121.75,118.0,127.4749984741211,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,5,132.5,129.35000610351562,136.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,6,141.625,138.1750030517578,145.8249969482422,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,7,140.5,137.1750030517578,144.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,8,133.875,131.0,137.8249969482422,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,9,124.875,121.0,130.9499969482422,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,10,104.75,102.0,108.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,11,99.125,96.0,103.4749984741211,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,2,lpca,12,87.625,84.3499984741211,90.82499694824219,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,3,lpca,0,66.875,64.0,70.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,3,lpca,1,130.75,128.0,134.64999389648438,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,3,lpca,2,170.125,167.0,175.47500610351562,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,3,lpca,3,180.375,176.35000610351562,186.8249969482422,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,3,lpca,4,157.0,153.35000610351562,162.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,3,lpca,5,168.5,165.1750030517578,173.0,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,index,3,lpca,6,186.625,182.1750030517578,191.47500610351562,8704,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
