subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_freq,bert-base-uncased,length,1,lpca,0,21.75,21.0,22.825000762939453,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,1,lpca,1,21.875,21.0,22.825000762939453,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,1,lpca,2,24.625,23.174999237060547,25.825000762939453,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,1,lpca,3,27.625,26.174999237060547,28.825000762939453,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,1,lpca,4,26.75,26.0,27.825000762939453,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,1,lpca,5,29.25,28.174999237060547,30.825000762939453,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,1,lpca,6,25.125,24.0,26.825000762939453,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,1,lpca,7,24.25,23.0,25.825000762939453,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,1,lpca,8,22.875,22.0,24.649999618530273,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,1,lpca,9,27.625,27.0,28.825000762939453,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,1,lpca,10,21.875,21.0,22.825000762939453,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,1,lpca,11,15.375,14.175000190734863,16.825000762939453,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,1,lpca,12,6.75,6.0,7.0,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,0,34.25,32.17499923706055,36.0,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,1,36.25,34.17499923706055,37.82500076293945,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,2,41.375,39.349998474121094,42.82500076293945,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,3,51.75,50.17499923706055,53.82500076293945,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,4,61.5,59.17499923706055,64.6500015258789,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,5,75.25,72.17500305175781,79.4749984741211,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,6,102.125,96.875,105.82499694824219,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,7,118.25,112.5250015258789,122.4749984741211,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,8,119.75,115.69999694824219,123.4749984741211,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,9,110.625,107.0,115.4749984741211,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,10,105.0,102.0,109.4749984741211,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,11,99.25,96.17500305175781,105.125,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,bert-base-uncased,length,2,lpca,12,95.75,92.0,101.4749984741211,5526,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
