subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_freq,gpt2,length,1,lpca,0,7.375,7.0,8.824999809265137,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,1,lpca,1,3.125,3.0,3.825000047683716,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,1,lpca,2,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,1,lpca,3,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,1,lpca,4,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,1,lpca,5,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,1,lpca,6,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,1,lpca,7,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,1,lpca,8,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,1,lpca,9,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,1,lpca,10,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,1,lpca,11,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,1,lpca,12,3.0,3.0,3.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,0,5.875,5.0,6.824999809265137,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,1,3.0,3.0,3.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,2,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,3,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,4,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,5,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,6,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,7,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,8,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,9,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,10,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,11,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,2,lpca,12,2.0,2.0,2.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,3,lpca,0,6.25,5.175000190734863,7.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,3,lpca,1,3.875,3.174999952316284,4.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,3,lpca,2,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,length,3,lpca,3,1.0,1.0,1.0,5526,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
