subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_freq,gpt2,pos,ADJ,mom,0,16.95582389831543,16.82537841796875,17.173776626586914,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,mom,1,13.893705368041992,13.71133804321289,14.134772300720215,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,mom,2,12.714441299438477,12.559051513671875,12.901777267456055,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,mom,3,13.418500900268555,13.243988990783691,13.624218940734863,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,mom,4,14.32942008972168,14.13932991027832,14.52367877960205,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,mom,5,14.944450378417969,14.763495445251465,15.10563850402832,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,mom,6,15.3946533203125,15.216896057128906,15.589872360229492,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,mom,7,15.71740436553955,15.598579406738281,15.87940502166748,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,mom,8,16.100399017333984,15.977020263671875,16.247316360473633,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,mom,9,16.731096267700195,16.5772705078125,16.880067825317383,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,mom,10,17.37957000732422,17.25247573852539,17.559974670410156,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,mom,11,18.08388328552246,17.896663665771484,18.289915084838867,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,mom,12,8.609054565429688,8.519319534301758,8.697381019592285,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADP,mom,0,4.116731643676758,3.961442232131958,4.251410007476807,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
