subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_freq,gpt2,pos,ADJ,tle,0,2.8246707916259766,2.746695041656494,2.907076597213745,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,tle,1,3.2290849685668945,3.0801594257354736,3.4406509399414062,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,tle,2,3.339137077331543,3.2126834392547607,3.5495362281799316,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,tle,3,3.5605368614196777,3.4437613487243652,3.797772169113159,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,tle,4,3.778296709060669,3.625192642211914,4.030249118804932,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,tle,5,3.9587793350219727,3.7580721378326416,4.225570201873779,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,tle,6,4.074909210205078,3.885669708251953,4.284696102142334,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,tle,7,4.139006614685059,3.9938817024230957,4.321521282196045,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,tle,8,4.1803812980651855,4.042672634124756,4.304959297180176,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,tle,9,4.201610088348389,4.050550937652588,4.336678981781006,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,pos,ADJ,tle,10,4.169276237487793,4.002591609954834,4.295079231262207,3675,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
