subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_freq,gpt2,relation_type,advmod,iso,0,0.006115030962973833,0.005704135168343782,0.006469433195888996,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,iso,1,0.0023966508451849222,0.002229822799563408,0.002523111877962947,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,iso,2,0.00010408220259705558,9.762416448211297e-05,0.00010902169742621481,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,iso,3,8.144779712893069e-06,7.64427659305511e-06,8.536444511264563e-06,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,iso,4,9.36031028686557e-06,8.783626981312409e-06,9.811342351895291e-06,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,iso,5,1.0510886568226852e-05,9.853532901615836e-06,1.101134330383502e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,iso,6,1.2332122423686087e-05,1.1551273018994834e-05,1.2920616427436471e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,iso,7,1.5131105101318099e-05,1.4159460079099517e-05,1.5849433111725375e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,iso,8,1.9758484995691106e-05,1.8461767467670143e-05,2.0672114260378294e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,iso,9,2.728606341406703e-05,2.550803401391022e-05,2.8507116439868696e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,iso,10,3.937770816264674e-05,3.682296664919704e-05,4.1135092033073306e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,iso,11,6.310208118520677e-05,5.9015983424615115e-05,6.595601007575169e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,iso,12,0.0005762090440839529,0.0005533007788471878,0.0005959768313914537,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,0,0.02866576611995697,0.02549045719206333,0.03034922666847706,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,1,0.01570381596684456,0.012117522768676281,0.018000861629843712,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,2,0.000515157007612288,0.00042160399607382715,0.0005753495497629046,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,3,3.6563502362696454e-05,3.0285376851679757e-05,4.055794488522224e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,4,4.088769856025465e-05,3.384397496120073e-05,4.536482083494775e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,5,4.50072402600199e-05,3.723054760484956e-05,4.9954818678088486e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,6,5.15465326316189e-05,4.2658179154386744e-05,5.7241544709540904e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,7,6.208410195540637e-05,5.1324455853318796e-05,6.891455268487334e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,8,7.90360281825997e-05,6.523070624098182e-05,8.776989852776751e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,9,0.00010512930020922795,8.665469795232639e-05,0.00011687260848702863,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,10,0.0001470838178647682,0.00012088601943105459,0.00016388273797929287,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,11,0.0002179258008254692,0.0001787323271855712,0.00024343086988665164,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,iso,12,0.0012504208134487271,0.0011894645867869258,0.0012981778709217906,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,0,0.005683443509042263,0.0054276022128760815,0.006053530145436525,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,1,0.002601639600470662,0.0024263474624603987,0.0028237788937985897,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,2,0.00010593647311907262,9.999090252676979e-05,0.00011472788901301101,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,3,8.978470759757329e-06,8.490685104334261e-06,9.72456382442033e-06,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,4,1.1889129382325336e-05,1.1225474736420438e-05,1.2922122550662607e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,5,1.4663780348200817e-05,1.3831020623911172e-05,1.5953686670400202e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,6,1.912777588586323e-05,1.804640305635985e-05,2.0804231098736636e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,7,2.4583068807260133e-05,2.318729275430087e-05,2.6766590963234194e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,8,3.2947908039204776e-05,3.106470830971375e-05,3.584725345717743e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,9,4.789063677890226e-05,4.513628300628625e-05,5.207690264796838e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,10,7.40112955099903e-05,6.965162174310535e-05,8.050199539866298e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,11,0.00011665515194181353,0.00010974455653922632,0.00012700961087830365,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,iso,12,0.0009223472443409264,0.0008757213363423944,0.0009655189351178706,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,0,0.06243697926402092,0.06095242500305176,0.06453265994787216,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,1,0.1298181414604187,0.12753236293792725,0.13221970200538635,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,2,0.1600426435470581,0.15726089477539062,0.16231994330883026,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,3,0.17055438458919525,0.16792212426662445,0.1729922741651535,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,4,0.179099902510643,0.1769343614578247,0.1814170926809311,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,5,0.17898394167423248,0.17677061259746552,0.1810913383960724,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,6,0.17282433807849884,0.1708204746246338,0.17499899864196777,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,7,0.166065976023674,0.16365456581115723,0.16852852702140808,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,8,0.15599730610847473,0.15391679108142853,0.1578415036201477,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,9,0.15334556996822357,0.15135157108306885,0.15559491515159607,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,10,0.14235521852970123,0.13993579149246216,0.1447022706270218,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,11,0.11563988775014877,0.11346324533224106,0.11750528216362,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,conj,iso,12,0.0007805246859788895,0.0007246542954817414,0.0008341362699866295,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,det,iso,0,0.0019280383130535483,0.00181768205948174,0.0020265562925487757,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,det,iso,1,0.0006593182915821671,0.0006183571531437337,0.0007010603439994156,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,det,iso,2,3.329937317175791e-05,3.14515273203142e-05,3.515648131724447e-05,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,det,iso,3,2.9708323836530326e-06,2.806038082781015e-06,3.131121502519818e-06,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,det,iso,4,3.834041763184359e-06,3.6210233247402357e-06,4.035790425405139e-06,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,det,iso,5,4.972909664502367e-06,4.694799372373382e-06,5.228813733992865e-06,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,det,iso,6,6.6397906266502105e-06,6.2563249230152e-06,6.987090728216572e-06,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
