subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_freq,gpt2,relation_type,advmod,lpca99,0,244.875,240.1750030517578,249.8249969482422,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,lpca99,1,250.375,243.0,255.0,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,lpca99,2,45.25,40.349998474121094,49.650001525878906,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,lpca99,3,1.0,1.0,1.0,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,lpca99,4,1.0,1.0,1.0,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,lpca99,5,1.0,1.0,1.0,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,lpca99,6,1.0,1.0,1.0,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,lpca99,7,1.0,1.0,1.0,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,lpca99,8,1.0,1.0,1.0,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,lpca99,9,2.25,1.0,3.825000047683716,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,lpca99,10,14.75,11.0,19.475000381469727,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,lpca99,11,46.5,39.17499923706055,55.125,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,lpca99,12,57.375,51.70000076293945,62.474998474121094,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
