subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_freq,gpt2,relation_type,advmod,mom,0,9.83063793182373,9.697274208068848,9.987016677856445,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,mom,1,7.810088157653809,7.684363842010498,7.938248634338379,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,mom,2,7.3167290687561035,7.1636528968811035,7.45997428894043,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,mom,3,8.051015853881836,7.8945088386535645,8.168036460876465,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,mom,4,9.04248046875,8.829087257385254,9.243087768554688,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,mom,5,10.077705383300781,9.827554702758789,10.345632553100586,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,mom,6,10.65096664428711,10.353013038635254,10.948522567749023,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,mom,7,11.25423812866211,10.944600105285645,11.503090858459473,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,mom,8,12.122383117675781,11.75346851348877,12.365617752075195,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,mom,9,13.147958755493164,12.74586009979248,13.347406387329102,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,mom,10,14.231077194213867,13.857057571411133,14.411271095275879,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,mom,11,14.865730285644531,14.496946334838867,15.102187156677246,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,mom,12,7.1854939460754395,7.1373066902160645,7.235937595367432,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,0,18.630970001220703,18.10683822631836,19.033201217651367,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,1,14.950006484985352,14.505218505859375,15.22951889038086,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,2,13.559088706970215,13.170870780944824,13.763204574584961,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,3,14.374938011169434,14.01427173614502,14.568278312683105,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,4,15.258018493652344,14.91856575012207,15.425992012023926,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,5,15.869815826416016,15.558667182922363,16.076051712036133,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,6,16.257837295532227,15.956753730773926,16.47066307067871,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,7,16.616392135620117,16.359188079833984,16.86159324645996,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,8,17.13287925720215,16.89097023010254,17.4228458404541,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,9,18.00377655029297,17.75172233581543,18.337112426757812,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,10,18.80438232421875,18.555463790893555,19.190845489501953,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,11,20.025836944580078,19.6840877532959,20.378360748291016,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,mom,12,9.850818634033203,9.691494941711426,9.950843811035156,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,mom,0,4.668283939361572,4.474111080169678,4.9398088455200195,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,mom,1,7.8045830726623535,7.650249004364014,8.0032320022583,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,mom,2,8.580293655395508,8.459675788879395,8.680524826049805,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,mom,3,10.610771179199219,10.532378196716309,10.733322143554688,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,mom,4,12.105841636657715,12.036909103393555,12.199254989624023,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,mom,5,13.505624771118164,13.42174243927002,13.569074630737305,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,mom,6,14.251371383666992,14.177639961242676,14.331063270568848,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,mom,7,15.239665985107422,15.168910026550293,15.322992324829102,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,mom,8,16.195770263671875,16.079389572143555,16.296236038208008,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,mom,9,17.094491958618164,16.931903839111328,17.273365020751953,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,case,mom,10,17.451000213623047,17.303152084350586,17.645296096801758,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
