subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_freq,gpt2,relation_type,advmod,twonn,0,0.22251059114933014,0.21636584401130676,0.23357494175434113,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,twonn,1,0.15523618459701538,0.1512477993965149,0.16081930696964264,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,twonn,2,0.15116097033023834,0.1474781632423401,0.15610964596271515,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,twonn,3,0.13807830214500427,0.1353120654821396,0.1424359828233719,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,twonn,4,0.1343354433774948,0.13110272586345673,0.13880480825901031,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,twonn,5,0.13145659863948822,0.12832163274288177,0.13469967246055603,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,twonn,6,0.12980720400810242,0.1268041431903839,0.13344137370586395,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,twonn,7,0.12745562195777893,0.12486880272626877,0.13199594616889954,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,twonn,8,0.12533330917358398,0.12249701470136642,0.13014855980873108,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,twonn,9,0.12353120744228363,0.12011677026748657,0.12760040163993835,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,twonn,10,0.12143003195524216,0.11879214644432068,0.12501442432403564,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,twonn,11,0.11965305358171463,0.1173759177327156,0.12377671897411346,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,advmod,twonn,12,0.14393119513988495,0.140727236866951,0.14875078201293945,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,twonn,0,0.19125038385391235,0.18488861620426178,0.2008095532655716,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,twonn,1,0.14796747267246246,0.14525042474269867,0.15228426456451416,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,twonn,2,0.14359822869300842,0.14105252921581268,0.14758513867855072,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_freq,gpt2,relation_type,amod,twonn,3,0.13744567334651947,0.13516294956207275,0.1414746642112732,7557,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
