subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased,arity,0,twonn,0,0.12674321234226227,0.12388503551483154,0.12863923609256744,4534,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,arity,0,twonn,1,0.12381673604249954,0.12130018323659897,0.12572605907917023,4534,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,arity,0,twonn,2,0.122285857796669,0.11993063986301422,0.12420213222503662,4534,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,arity,0,twonn,3,0.12173938751220703,0.11948887258768082,0.12372606247663498,4534,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,arity,0,twonn,4,0.12154673784971237,0.11934785544872284,0.12356279045343399,4534,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,arity,0,twonn,5,0.1213345006108284,0.11915583908557892,0.12339932471513748,4534,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,arity,0,twonn,6,0.12129969894886017,0.11914967745542526,0.12338164448738098,4534,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,arity,0,twonn,7,0.12139307707548141,0.1192229613661766,0.12348845601081848,4534,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,arity,0,twonn,8,0.12206409126520157,0.11988787353038788,0.12420185655355453,4534,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,arity,0,twonn,9,0.12284442782402039,0.12067243456840515,0.12503884732723236,4534,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
