subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased,index,1,corrint,0,20.94741439819336,19.729997634887695,22.97721290588379,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,corrint,1,17.868391036987305,16.34429359436035,20.223039627075195,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,corrint,2,16.27845573425293,15.328739166259766,17.84304428100586,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,corrint,3,16.969480514526367,15.793357849121094,18.177413940429688,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,corrint,4,17.90951156616211,17.132457733154297,18.968515396118164,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,corrint,5,16.152753829956055,15.400833129882812,16.702041625976562,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,corrint,6,15.601164817810059,14.730631828308105,16.780733108520508,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,corrint,7,15.465118408203125,14.618525505065918,16.85562515258789,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,corrint,8,14.164182662963867,13.475732803344727,15.518402099609375,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,corrint,9,16.322851181030273,15.717756271362305,17.86702537536621,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,corrint,10,16.195106506347656,15.484208106994629,16.958717346191406,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,corrint,11,20.27342414855957,19.623653411865234,21.08719825744629,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,corrint,12,9.313030242919922,8.68820858001709,9.632173538208008,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,0,26.60573959350586,25.60469627380371,27.287261962890625,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,1,24.755199432373047,22.753971099853516,26.27547264099121,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,2,21.673442840576172,20.237548828125,23.41384506225586,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,3,23.26095199584961,21.458459854125977,24.836828231811523,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,4,24.644817352294922,23.99407958984375,25.426496505737305,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,5,23.5809268951416,23.07697296142578,24.612747192382812,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,6,23.62649154663086,22.992847442626953,24.21461296081543,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,7,23.276758193969727,22.79879379272461,23.92635154724121,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,8,22.270469665527344,21.767038345336914,22.57539939880371,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,9,22.700332641601562,21.983078002929688,23.54936981201172,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,10,22.243907928466797,21.8319149017334,22.780715942382812,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,11,23.51519775390625,22.788898468017578,24.18406105041504,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,corrint,12,19.80561637878418,18.995811462402344,20.398330688476562,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,corrint,0,25.098115921020508,24.40487289428711,26.52553939819336,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
