subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased,index,1,fishers,0,8.070834159851074,7.990859031677246,8.17060375213623,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,fishers,1,8.079453468322754,7.999685287475586,8.178911209106445,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,fishers,2,8.106905937194824,8.027581214904785,8.20571231842041,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,fishers,3,8.235931396484375,8.177592277526855,8.29389762878418,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,fishers,4,8.256776809692383,8.201930046081543,8.313017845153809,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,fishers,5,8.182573318481445,8.120146751403809,8.250508308410645,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,fishers,6,8.153840065002441,8.092716217041016,8.238728523254395,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,fishers,7,8.124683380126953,8.0576753616333,8.199188232421875,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,fishers,8,8.071069717407227,7.980418682098389,8.147732734680176,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,fishers,9,8.046636581420898,7.977898120880127,8.13589096069336,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,fishers,10,8.130943298339844,8.044990539550781,8.176850318908691,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,fishers,11,8.181863784790039,8.088427543640137,8.238208770751953,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,fishers,12,5.370633602142334,5.015169620513916,5.837348937988281,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,0,8.21495246887207,8.156266212463379,8.280287742614746,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,1,8.2339448928833,8.166241645812988,8.288281440734863,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,2,8.28872299194336,8.236359596252441,8.33395004272461,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,3,8.348945617675781,8.273833274841309,8.396585464477539,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,4,8.352278709411621,8.280434608459473,8.399914741516113,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,5,8.359272956848145,8.297833442687988,8.415082931518555,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,6,8.353347778320312,8.277079582214355,8.420021057128906,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,7,8.343989372253418,8.275691986083984,8.41064453125,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,8,8.329290390014648,8.250266075134277,8.384733200073242,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,9,8.336112022399902,8.244952201843262,8.403253555297852,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,10,8.339380264282227,8.261098861694336,8.399249076843262,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,11,8.356151580810547,8.278550148010254,8.406400680541992,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,fishers,12,8.374317169189453,8.311532020568848,8.419544219970703,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,0,8.221137046813965,8.136046409606934,8.293803215026855,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,1,8.255473136901855,8.185757637023926,8.32351303100586,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,2,8.310518264770508,8.22323226928711,8.368176460266113,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,3,8.36239242553711,8.28865909576416,8.416232109069824,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,4,8.360923767089844,8.296594619750977,8.4107666015625,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,5,8.370368003845215,8.320380210876465,8.418257713317871,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,6,8.373624801635742,8.329978942871094,8.417716026306152,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,7,8.36975383758545,8.31271743774414,8.41589069366455,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,8,8.368156433105469,8.313892364501953,8.403520584106445,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,9,8.365006446838379,8.310371398925781,8.404322624206543,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,10,8.363967895507812,8.29601764678955,8.402050971984863,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,11,8.365506172180176,8.298722267150879,8.407136917114258,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,fishers,12,8.38681697845459,8.335186004638672,8.424029350280762,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,0,8.236685752868652,8.172933578491211,8.2789945602417,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,1,8.267021179199219,8.201558113098145,8.318455696105957,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,2,8.321683883666992,8.26076889038086,8.373068809509277,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,3,8.37576675415039,8.310221672058105,8.416430473327637,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,4,8.377466201782227,8.330314636230469,8.411577224731445,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,5,8.372239112854004,8.317267417907715,8.405594825744629,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,6,8.372661590576172,8.320632934570312,8.409958839416504,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,7,8.362545013427734,8.308691024780273,8.405059814453125,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,8,8.37101936340332,8.318187713623047,8.413595199584961,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,9,8.36895751953125,8.31582260131836,8.413055419921875,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,10,8.371418952941895,8.315145492553711,8.414135932922363,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,11,8.37252426147461,8.321313858032227,8.419482231140137,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,fishers,12,8.387151718139648,8.33810043334961,8.424230575561523,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,0,8.282342910766602,8.219425201416016,8.319305419921875,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,1,8.313714981079102,8.25435733795166,8.347423553466797,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,2,8.354541778564453,8.311281204223633,8.390278816223145,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,3,8.384085655212402,8.335613250732422,8.420291900634766,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,4,8.385259628295898,8.335101127624512,8.421852111816406,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,5,8.387506484985352,8.339475631713867,8.42546272277832,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,6,8.38830280303955,8.338961601257324,8.427090644836426,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,7,8.389443397521973,8.341371536254883,8.42763614654541,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,8,8.386630058288574,8.340679168701172,8.426888465881348,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,9,8.379703521728516,8.329978942871094,8.421852111816406,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,10,8.381937026977539,8.329978942871094,8.420358657836914,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,11,8.38587474822998,8.334415435791016,8.422666549682617,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,fishers,12,8.390625,8.340422630310059,8.426614761352539,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,0,8.217220306396484,8.136275291442871,8.293289184570312,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,1,8.261029243469238,8.187195777893066,8.32262134552002,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,2,8.324166297912598,8.251941680908203,8.375221252441406,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,3,8.360511779785156,8.292694091796875,8.412314414978027,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,4,8.365324020385742,8.291952133178711,8.421648025512695,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,5,8.365832328796387,8.298501968383789,8.422739028930664,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,6,8.368003845214844,8.302574157714844,8.424029350280762,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,7,8.365630149841309,8.298081398010254,8.421919822692871,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,8,8.370708465576172,8.307085037231445,8.421648025512695,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,9,8.369450569152832,8.303993225097656,8.424708366394043,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,10,8.370967864990234,8.30265998840332,8.428183555603027,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,11,8.37176513671875,8.301407814025879,8.427090644836426,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,fishers,12,8.3883638381958,8.330742835998535,8.432151794433594,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,fishers,0,8.211172103881836,8.162549018859863,8.266847610473633,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,fishers,1,8.24614143371582,8.183713912963867,8.29598331451416,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,fishers,2,8.308707237243652,8.259330749511719,8.352871894836426,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,fishers,3,8.35944938659668,8.308759689331055,8.400713920593262,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,fishers,4,8.369464874267578,8.304425239562988,8.413865089416504,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
