subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased,index,1,tle,0,3.071826934814453,2.7670750617980957,3.331960916519165,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,tle,1,3.695158004760742,2.873188018798828,4.554062843322754,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,tle,2,3.6139469146728516,2.924891710281372,4.2837018966674805,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,tle,3,3.6785695552825928,3.044252872467041,4.148472309112549,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,tle,4,3.947321891784668,3.4913103580474854,4.3010454177856445,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,tle,5,3.9534945487976074,3.548248767852783,4.319681167602539,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,tle,6,3.8978466987609863,3.683897018432617,4.216666221618652,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,tle,7,3.8811473846435547,3.6516196727752686,4.201415061950684,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,tle,8,3.906510829925537,3.712414264678955,4.108492374420166,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,tle,9,3.8953094482421875,3.748918294906616,4.15876579284668,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,tle,10,3.909212350845337,3.707486867904663,4.148351669311523,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,tle,11,3.9711108207702637,3.6718335151672363,4.202960968017578,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,tle,12,3.975398302078247,3.7648799419403076,4.153299808502197,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,tle,0,3.738858461380005,2.999891519546509,4.2620158195495605,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,tle,1,3.583458185195923,2.240579605102539,4.528841495513916,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,tle,2,3.7316272258758545,2.4415247440338135,4.991306781768799,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,tle,3,3.8616368770599365,2.8073673248291016,4.586090564727783,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,tle,4,3.8651938438415527,3.3227124214172363,4.3505635261535645,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,tle,5,3.887615203857422,3.516849994659424,4.316747188568115,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
