subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased,index,1,twonn,0,0.12110266089439392,0.11764577031135559,0.12319303303956985,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,twonn,1,0.1177392229437828,0.11372321844100952,0.12008023262023926,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,twonn,2,0.11632625758647919,0.1124303936958313,0.1186741441488266,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,twonn,3,0.11617497354745865,0.11241044849157333,0.11851217597723007,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,twonn,4,0.11626102030277252,0.11258576810359955,0.11860901117324829,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,twonn,5,0.11623378843069077,0.11262683570384979,0.11862070858478546,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,twonn,6,0.11619497835636139,0.1126105859875679,0.11859869956970215,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,twonn,7,0.11634470522403717,0.112746961414814,0.11874161660671234,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,twonn,8,0.11705882102251053,0.11347142606973648,0.11944972723722458,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,twonn,9,0.11746065318584442,0.11384692043066025,0.11987586319446564,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,twonn,10,0.11671201884746552,0.1130821630358696,0.11912830173969269,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,twonn,11,0.11690840125083923,0.11322475224733353,0.11938858032226562,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,1,twonn,12,0.12067105621099472,0.11686846613883972,0.1232205480337143,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,0,0.11862301081418991,0.11595630645751953,0.12166085094213486,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,1,0.11582159250974655,0.11259675770998001,0.11866471916437149,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,2,0.11481213569641113,0.11148449033498764,0.11759193986654282,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,3,0.11493603885173798,0.11148950457572937,0.11770664900541306,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,4,0.1150055080652237,0.11149349063634872,0.11777931451797485,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,5,0.11501837521791458,0.1114879623055458,0.11781889200210571,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,6,0.11493857204914093,0.11141086369752884,0.11769571155309677,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,7,0.11511602252721786,0.11157593876123428,0.11787498742341995,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,8,0.11575135588645935,0.11215629428625107,0.11848907172679901,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,9,0.1163957491517067,0.1127561405301094,0.11914847046136856,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,10,0.11586068570613861,0.1122504398226738,0.11859667301177979,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,11,0.11627211421728134,0.11262943595647812,0.11900977045297623,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,2,twonn,12,0.11833582073450089,0.11458952724933624,0.12109222263097763,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,0,0.11864258348941803,0.11440133303403854,0.12137671560049057,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,1,0.11580998450517654,0.11191178858280182,0.11848630011081696,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,2,0.11483548581600189,0.11105792969465256,0.11745790392160416,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,3,0.11495855450630188,0.11126859486103058,0.11756094545125961,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,4,0.11489035189151764,0.11126348376274109,0.11747664213180542,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,5,0.11484451591968536,0.11123815923929214,0.11742409318685532,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,6,0.11467621475458145,0.11107610911130905,0.11723694950342178,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,7,0.11478006839752197,0.11118393391370773,0.11730688810348511,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,8,0.11534302681684494,0.11170866340398788,0.11787614971399307,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,9,0.11590347439050674,0.11220768094062805,0.11847825348377228,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,10,0.11540155857801437,0.11170680820941925,0.11794691532850266,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,11,0.11583548784255981,0.11215656250715256,0.11838658899068832,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,3,twonn,12,0.11828504502773285,0.11451584100723267,0.1208999752998352,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,0,0.11800968647003174,0.11502327024936676,0.12048891931772232,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,1,0.11554838716983795,0.11198603361845016,0.11829540878534317,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,2,0.11452221870422363,0.11101793497800827,0.11722154915332794,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,3,0.11461525410413742,0.1111753061413765,0.11724518984556198,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,4,0.11455704271793365,0.11109717935323715,0.11714063584804535,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,5,0.11452245712280273,0.11105439066886902,0.11708011478185654,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,6,0.11441145837306976,0.11092519015073776,0.11692309379577637,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,7,0.11454316228628159,0.11104625463485718,0.11707308888435364,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,8,0.11515586078166962,0.11164059489965439,0.11769387871026993,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,9,0.11578729003667831,0.11224471777677536,0.11831100285053253,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,10,0.11528129130601883,0.11174918711185455,0.11779316514730453,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,11,0.11577804386615753,0.11221329867839813,0.11828459054231644,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,4,twonn,12,0.1182708889245987,0.11455685645341873,0.12084878981113434,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,0,0.11741683632135391,0.11418648809194565,0.12062372267246246,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,1,0.11499933898448944,0.11148102581501007,0.11759006977081299,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,2,0.11406010389328003,0.11055133491754532,0.11656010895967484,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,3,0.11428044736385345,0.11074143648147583,0.11673010140657425,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,4,0.11428901553153992,0.11074777692556381,0.11677016317844391,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,5,0.11429452151060104,0.11076164990663528,0.11679068207740784,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,6,0.11421764642000198,0.11066342890262604,0.11673903465270996,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,7,0.11437515169382095,0.11080203950405121,0.11689884960651398,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,8,0.11502920091152191,0.11141054332256317,0.11754399538040161,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,9,0.11574351787567139,0.11208278685808182,0.11828199028968811,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,10,0.11529241502285004,0.11162802577018738,0.11782398819923401,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,11,0.11578626930713654,0.11211294680833817,0.11832326650619507,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,5,twonn,12,0.11832471191883087,0.11458360403776169,0.12095056474208832,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,0,0.11827939003705978,0.11433549225330353,0.12085773795843124,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,1,0.11548697203397751,0.11180956661701202,0.11792727559804916,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,2,0.11442744731903076,0.11078199744224548,0.11687862128019333,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,3,0.1145009994506836,0.11088581383228302,0.11700820177793503,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,4,0.11439785361289978,0.11075485497713089,0.11692185699939728,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,5,0.11437981575727463,0.11075065284967422,0.11691877990961075,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,6,0.11428029835224152,0.11068782210350037,0.11679086834192276,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,7,0.11439339816570282,0.11079894751310349,0.11692167818546295,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,8,0.11501040309667587,0.11139769107103348,0.11752894520759583,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,9,0.11570748686790466,0.11205903440713882,0.11821608245372772,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,10,0.11533000320196152,0.1116449385881424,0.11802203953266144,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,11,0.11581281572580338,0.11207778006792068,0.1185711920261383,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,6,twonn,12,0.11831119656562805,0.11454195529222488,0.12101789563894272,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,twonn,0,0.11796750128269196,0.11404835432767868,0.12080679088830948,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,twonn,1,0.11557852476835251,0.11174733936786652,0.11809097230434418,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,twonn,2,0.11453643441200256,0.11080813407897949,0.11708434671163559,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,twonn,3,0.1146245226264,0.11087183654308319,0.11721599102020264,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,twonn,4,0.11452096700668335,0.11080732196569443,0.11711866408586502,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,twonn,5,0.11448372155427933,0.11078239977359772,0.11708564311265945,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,twonn,6,0.11438367515802383,0.11069761216640472,0.116953544318676,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,twonn,7,0.11447905004024506,0.11079747974872589,0.11704124510288239,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,twonn,8,0.11511196196079254,0.11143269389867783,0.11769034713506699,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,index,7,twonn,9,0.11578279733657837,0.11207650601863861,0.11836586147546768,1600,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
