subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2,index,1,corrint,0,12.221973419189453,11.707862854003906,12.670841217041016,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,corrint,1,12.126192092895508,11.151813507080078,12.686589241027832,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,corrint,2,11.909143447875977,10.948321342468262,12.670461654663086,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,corrint,3,12.590219497680664,11.99386978149414,12.986298561096191,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,corrint,4,13.040318489074707,12.55142879486084,13.604429244995117,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,corrint,5,13.257949829101562,12.811256408691406,13.68264102935791,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,corrint,6,13.248297691345215,12.719292640686035,13.793562889099121,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,corrint,7,13.193934440612793,12.605422019958496,13.679401397705078,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,corrint,8,13.231689453125,12.799485206604004,13.654643058776855,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,corrint,9,13.144576072692871,12.727928161621094,13.56375789642334,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,corrint,10,13.089131355285645,12.634905815124512,13.596056938171387,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,corrint,11,12.89494514465332,12.528820991516113,13.427901268005371,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,corrint,12,6.199413299560547,5.906474590301514,6.478691101074219,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,0,16.404071807861328,15.913163185119629,17.018768310546875,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,1,17.24941635131836,16.773584365844727,18.017961502075195,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,2,19.21387481689453,18.72430419921875,19.80733299255371,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,3,19.356016159057617,18.744850158691406,20.128582000732422,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,4,19.772113800048828,19.234416961669922,20.665468215942383,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,5,19.370983123779297,18.773447036743164,20.207719802856445,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,6,18.754093170166016,18.179441452026367,19.978960037231445,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,7,18.04774284362793,17.339344024658203,19.32975959777832,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,8,16.804126739501953,16.377826690673828,17.548072814941406,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,9,16.086570739746094,15.34965991973877,16.371137619018555,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,10,15.518570899963379,15.035933494567871,15.998300552368164,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,11,15.06110954284668,14.631629943847656,15.668256759643555,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,corrint,12,7.250147342681885,7.011172294616699,7.498753547668457,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,0,16.84333038330078,16.218740463256836,17.387432098388672,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,1,16.798824310302734,15.92031478881836,17.737659454345703,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,2,17.871414184570312,16.83847999572754,18.88295555114746,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,3,19.354408264160156,18.25931739807129,20.188859939575195,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,4,21.227005004882812,20.68480110168457,21.919370651245117,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,5,21.719640731811523,21.30555534362793,22.148086547851562,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,6,21.580673217773438,21.149755477905273,22.026535034179688,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,7,21.053367614746094,20.568363189697266,21.65743637084961,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,8,19.961441040039062,19.714040756225586,20.17770004272461,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,9,20.196571350097656,19.589506149291992,20.966581344604492,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,10,19.44495964050293,19.02823829650879,19.928335189819336,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,11,18.837135314941406,18.54865837097168,19.08039093017578,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,corrint,12,7.612274169921875,7.434087753295898,7.891395568847656,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,0,18.097402572631836,17.449962615966797,18.907222747802734,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,1,16.830585479736328,16.00806427001953,17.566747665405273,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,2,17.8270263671875,16.859752655029297,18.49808120727539,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,3,19.955280303955078,19.075828552246094,20.8675537109375,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,4,21.23099136352539,20.39234733581543,21.92132568359375,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,5,22.227176666259766,21.421863555908203,22.88420867919922,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,6,21.859281539916992,21.0203800201416,22.76354217529297,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,7,21.79877281188965,21.16033935546875,22.347171783447266,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,8,21.034238815307617,20.40254783630371,21.405933380126953,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,9,20.680816650390625,20.16411781311035,21.026811599731445,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,10,20.634355545043945,20.23594093322754,20.99399185180664,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,11,20.371925354003906,19.38355827331543,21.246278762817383,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,corrint,12,8.061773300170898,7.595376968383789,8.318463325500488,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,corrint,0,18.37555503845215,17.857772827148438,18.912424087524414,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,corrint,1,16.996353149414062,16.245468139648438,17.80419921875,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,corrint,2,18.204593658447266,17.716428756713867,18.845203399658203,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,corrint,3,20.178726196289062,19.068613052368164,20.845481872558594,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,corrint,4,22.30139923095703,21.47235107421875,23.128446578979492,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,corrint,5,23.17401695251465,22.112855911254883,24.23824691772461,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,corrint,6,24.137102127075195,23.80565071105957,24.737943649291992,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
