subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2,index,1,gride,0,16.4738712310791,14.640911102294922,19.074487686157227,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,gride,1,13.827890396118164,12.795965194702148,15.558845520019531,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,gride,2,12.373636245727539,11.587759017944336,13.32151985168457,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,gride,3,12.373769760131836,11.675707817077637,13.01821517944336,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,gride,4,12.136128425598145,11.335153579711914,12.588879585266113,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,gride,5,12.146838188171387,11.12539291381836,12.672245025634766,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,gride,6,12.121987342834473,10.971466064453125,12.616010665893555,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,gride,7,12.050958633422852,10.68091106414795,12.527191162109375,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,gride,8,11.986259460449219,10.579388618469238,12.438203811645508,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,gride,9,11.862975120544434,10.448760986328125,12.341974258422852,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,gride,10,11.829757690429688,10.44601058959961,12.295260429382324,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,gride,11,11.692973136901855,10.501072883605957,12.183659553527832,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,gride,12,5.545877456665039,5.390624523162842,5.753793716430664,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,0,24.2366943359375,22.043245315551758,26.834745407104492,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,1,25.57062339782715,22.93846321105957,27.23341178894043,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,2,22.102893829345703,17.53443717956543,24.20223617553711,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,3,21.305397033691406,18.38426399230957,23.699426651000977,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,4,22.362537384033203,19.857358932495117,24.30551528930664,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,5,22.286109924316406,19.92156982421875,23.91029930114746,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,6,21.91916275024414,19.952007293701172,23.470928192138672,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,7,20.817590713500977,19.066349029541016,21.956607818603516,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,8,19.1795654296875,17.838932037353516,20.2850399017334,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,9,18.306537628173828,17.112760543823242,19.37944984436035,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,10,17.80414390563965,17.036075592041016,18.87224578857422,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,11,16.59139633178711,15.836305618286133,17.76418113708496,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,gride,12,6.095795631408691,5.980660915374756,6.261084079742432,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,0,27.235265731811523,24.44230079650879,29.942922592163086,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,1,28.15959930419922,26.85333251953125,29.283082962036133,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,2,26.208498001098633,25.32451629638672,27.350257873535156,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,3,26.20754623413086,25.162437438964844,27.214845657348633,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,4,27.28315544128418,26.33060646057129,28.018861770629883,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,5,27.533437728881836,26.808794021606445,28.119050979614258,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,6,26.95777130126953,26.550525665283203,27.575502395629883,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,7,25.877456665039062,25.51233673095703,26.575265884399414,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,8,24.643953323364258,24.099655151367188,25.674659729003906,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,9,23.952125549316406,23.18907928466797,25.135202407836914,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,10,23.423694610595703,22.73607063293457,24.496992111206055,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,11,21.96636390686035,21.08547592163086,22.93632698059082,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,gride,12,6.6759233474731445,6.476104259490967,6.888858795166016,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,0,30.91328239440918,26.678674697875977,33.9986457824707,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,1,28.4500732421875,27.462501525878906,29.810649871826172,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,2,25.510526657104492,23.894479751586914,26.88163948059082,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,3,26.202774047851562,25.07048225402832,27.257240295410156,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,4,27.148616790771484,26.355270385742188,28.37274169921875,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,5,27.402870178222656,26.488868713378906,28.35446548461914,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,6,26.481714248657227,25.697647094726562,27.345548629760742,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,7,26.053680419921875,25.18207359313965,26.81671714782715,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,8,25.329397201538086,24.830806732177734,25.99603271484375,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,9,24.84794044494629,24.470582962036133,25.41653060913086,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,10,24.368885040283203,23.876426696777344,24.90924072265625,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,11,22.987747192382812,22.206327438354492,23.608898162841797,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,gride,12,6.7522125244140625,6.6387104988098145,6.854322910308838,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,0,31.580373764038086,29.456832885742188,33.91357421875,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,1,29.18452262878418,28.437137603759766,29.767641067504883,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,2,27.147754669189453,26.448261260986328,27.997907638549805,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,3,27.804201126098633,27.372344970703125,28.69784164428711,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,4,28.057157516479492,27.452869415283203,28.916887283325195,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,5,28.318626403808594,27.87177085876465,28.85540199279785,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,6,28.09961700439453,27.39852523803711,28.702943801879883,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,7,27.781709671020508,27.09261131286621,28.2821044921875,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,8,27.149389266967773,26.826717376708984,27.419151306152344,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,9,26.99315643310547,26.558856964111328,27.659875869750977,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,10,26.337247848510742,26.02613639831543,27.027368545532227,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,11,25.14105796813965,24.75330924987793,25.792316436767578,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,5,gride,12,6.835636138916016,6.699148178100586,6.992502689361572,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,0,30.131610870361328,27.447851181030273,33.7465705871582,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,1,27.6359806060791,26.210071563720703,28.70781898498535,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,2,26.040252685546875,24.115673065185547,27.458269119262695,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,3,27.000591278076172,25.439855575561523,28.495521545410156,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,4,28.377498626708984,27.256433486938477,29.639320373535156,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,5,28.36077117919922,27.252004623413086,29.54465103149414,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,6,27.968103408813477,27.3602352142334,28.483781814575195,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,7,27.180265426635742,26.870634078979492,27.556913375854492,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,8,27.001453399658203,26.24903106689453,27.526453018188477,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,9,27.130666732788086,26.39033317565918,27.81943702697754,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,10,27.025209426879883,26.54575538635254,27.30514907836914,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,11,25.80182647705078,24.704355239868164,26.45758628845215,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,6,gride,12,6.777921199798584,6.475778102874756,6.997012138366699,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,0,33.59116744995117,31.997020721435547,36.092342376708984,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,1,27.531980514526367,26.466665267944336,28.733003616333008,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,2,25.9220027923584,24.935081481933594,26.514991760253906,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,3,27.399686813354492,26.618244171142578,28.34233856201172,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,4,28.335838317871094,27.82703399658203,28.914234161376953,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,5,29.114517211914062,28.690990447998047,29.414962768554688,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,6,28.453317642211914,28.12232780456543,28.841066360473633,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,7,27.928062438964844,27.196491241455078,28.63507080078125,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,8,27.12432289123535,26.359851837158203,27.685665130615234,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,9,27.46231460571289,26.962419509887695,27.852813720703125,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,10,27.955760955810547,27.436697006225586,28.652935028076172,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,11,26.17192268371582,25.659564971923828,26.761381149291992,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,7,gride,12,7.013904571533203,6.8369903564453125,7.151949405670166,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,0,30.869115829467773,27.80153465270996,34.38190841674805,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,1,28.350650787353516,27.233800888061523,29.401704788208008,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,2,25.253707885742188,24.057933807373047,26.11287498474121,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,3,26.48001480102539,25.674840927124023,27.49796485900879,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,4,27.282108306884766,26.564241409301758,28.08285903930664,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,5,28.3778018951416,27.781747817993164,28.939016342163086,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,6,28.055309295654297,27.529834747314453,28.91571807861328,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,7,27.94755744934082,27.33954429626465,28.951736450195312,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,8,27.457883834838867,26.9859561920166,28.074722290039062,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,9,28.02757453918457,27.43880844116211,28.8565673828125,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,10,28.553834915161133,28.226211547851562,28.774311065673828,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,11,26.74567413330078,26.45206069946289,27.12099266052246,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,8,gride,12,7.076654434204102,6.920260906219482,7.3122382164001465,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,0,33.981353759765625,31.87249755859375,36.949214935302734,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,1,28.760831832885742,27.830293655395508,29.859079360961914,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,2,26.827497482299805,26.051937103271484,27.963123321533203,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,3,27.89452362060547,26.43310546875,28.8057804107666,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,4,28.493820190429688,27.56348419189453,29.330379486083984,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,5,28.979957580566406,28.548301696777344,29.421228408813477,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,6,28.612945556640625,28.000539779663086,29.122961044311523,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,7,28.49581527709961,28.022777557373047,29.1761474609375,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,8,27.9376277923584,27.524938583374023,28.47483253479004,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,9,28.400665283203125,27.982620239257812,28.808977127075195,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,10,28.294048309326172,27.78936004638672,28.987152099609375,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,11,26.976530075073242,26.614994049072266,27.47978973388672,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,9,gride,12,7.073703765869141,6.749379634857178,7.2884674072265625,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,0,29.964080810546875,25.79473304748535,32.7043342590332,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,1,27.795331954956055,26.703954696655273,29.03268051147461,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,2,26.423128128051758,25.335729598999023,27.765867233276367,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,3,27.51860809326172,26.28077507019043,28.777385711669922,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,4,28.551679611206055,27.41701316833496,29.594921112060547,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,5,28.653839111328125,27.449247360229492,29.75653076171875,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,6,28.136932373046875,27.43549156188965,28.962051391601562,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,7,27.718486785888672,27.121082305908203,28.21588134765625,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,8,26.95627784729004,26.356563568115234,27.511701583862305,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,9,27.24675750732422,26.389179229736328,27.70430564880371,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,10,27.08960723876953,26.194904327392578,27.599363327026367,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,11,26.591106414794922,26.308300018310547,26.8084659576416,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,10,gride,12,7.0528154373168945,6.776882648468018,7.304171562194824,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
