subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2,index,1,lpca,0,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,lpca,1,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,lpca,2,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,lpca,3,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,lpca,4,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,lpca,5,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,lpca,6,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,lpca,7,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,lpca,8,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,lpca,9,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,lpca,10,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,lpca,11,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,lpca,12,1.0,1.0,1.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,0,22.5,21.0,23.825000762939453,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,1,121.75,117.5250015258789,125.6500015258789,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,2,118.5,112.69999694824219,123.4749984741211,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,3,107.5,102.0,112.4749984741211,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,4,121.875,116.5250015258789,126.4749984741211,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,5,119.0,114.5250015258789,122.82499694824219,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,6,112.25,107.5250015258789,117.4749984741211,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,7,109.75,102.875,117.30000305175781,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,8,94.875,90.17500305175781,102.125,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,9,96.75,93.0,102.82499694824219,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,10,107.625,102.17500305175781,114.30000305175781,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,11,38.625,33.349998474121094,42.650001525878906,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,lpca,12,3.0,3.0,3.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,lpca,0,147.625,139.875,156.77499389648438,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,lpca,1,133.75,128.52499389648438,139.64999389648438,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,lpca,2,135.875,130.35000610351562,140.8249969482422,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,lpca,3,131.125,126.3499984741211,136.8249969482422,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,lpca,4,142.75,136.1750030517578,151.125,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,lpca,5,149.875,143.35000610351562,154.8249969482422,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,lpca,6,148.875,140.6999969482422,154.64999389648438,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,lpca,7,144.375,134.52499389648438,151.64999389648438,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,lpca,8,126.125,118.69999694824219,132.64999389648438,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,lpca,9,136.375,130.6999969482422,141.0,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,lpca,10,126.375,118.05000305175781,132.64999389648438,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,lpca,11,54.875,50.0,58.82500076293945,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
