subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2,index,1,mom,0,23.212018966674805,22.827789306640625,23.596904754638672,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,mom,1,17.454315185546875,17.138303756713867,17.951902389526367,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,mom,2,14.873958587646484,14.503138542175293,15.248513221740723,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,mom,3,14.622126579284668,14.236241340637207,15.022078514099121,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,mom,4,14.332935333251953,13.93185806274414,14.77479076385498,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,mom,5,14.12363052368164,13.764165878295898,14.531248092651367,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,mom,6,14.016976356506348,13.62954330444336,14.414628028869629,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,mom,7,13.80544376373291,13.43204402923584,14.187597274780273,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,mom,8,13.646477699279785,13.263556480407715,14.050100326538086,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,mom,9,13.530529975891113,13.168103218078613,13.94373607635498,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,mom,10,13.483380317687988,13.148897171020508,13.854778289794922,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,mom,11,13.122428894042969,12.819756507873535,13.486601829528809,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,mom,12,6.138896465301514,6.0879387855529785,6.241488456726074,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,0,25.00667381286621,24.675628662109375,25.531309127807617,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,1,24.37436866760254,24.002777099609375,24.719562530517578,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,2,22.117305755615234,21.748672485351562,22.411699295043945,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,3,21.56875991821289,21.344776153564453,21.74167251586914,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,4,21.55945587158203,21.38227081298828,21.668447494506836,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,5,21.104543685913086,20.790931701660156,21.257545471191406,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,6,20.447765350341797,20.225643157958984,20.640531539916992,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,7,19.72150230407715,19.441999435424805,19.939348220825195,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,8,18.954837799072266,18.702476501464844,19.234189987182617,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,9,18.472824096679688,18.250350952148438,18.73405647277832,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,10,18.200939178466797,17.872251510620117,18.499183654785156,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,11,17.335914611816406,17.12494468688965,17.629009246826172,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,mom,12,6.398358345031738,6.346306324005127,6.466136932373047,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,0,27.771625518798828,27.344385147094727,28.209468841552734,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,1,25.496028900146484,25.24264907836914,25.824472427368164,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,2,23.77298927307129,23.41897964477539,24.076536178588867,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,3,23.16493797302246,23.062841415405273,23.28179359436035,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,4,23.491567611694336,23.219472885131836,23.79060935974121,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,5,23.27073860168457,23.00450325012207,23.491849899291992,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,6,22.790546417236328,22.635639190673828,23.028141021728516,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,7,22.037578582763672,21.82001495361328,22.303955078125,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,8,21.417850494384766,21.121904373168945,21.773603439331055,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,9,21.203453063964844,20.89276885986328,21.59693717956543,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,10,20.841768264770508,20.562335968017578,21.276010513305664,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,11,19.883224487304688,19.497068405151367,20.337127685546875,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,3,mom,12,6.86440372467041,6.753961563110352,6.953774929046631,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,mom,0,28.288970947265625,27.84741973876953,28.898435592651367,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,mom,1,25.44416618347168,24.982439041137695,25.719667434692383,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,mom,2,23.71773338317871,23.336406707763672,23.991853713989258,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,mom,3,23.572168350219727,23.130626678466797,24.062957763671875,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,mom,4,23.93669319152832,23.544849395751953,24.447484970092773,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,mom,5,23.770034790039062,23.450275421142578,24.09391212463379,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,mom,6,23.118207931518555,22.900070190429688,23.487770080566406,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,mom,7,22.785966873168945,22.65576171875,23.059860229492188,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,mom,8,22.353439331054688,22.255714416503906,22.5257625579834,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,mom,9,22.03691864013672,21.90131187438965,22.15757179260254,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,mom,10,21.771020889282227,21.59568977355957,21.911991119384766,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,4,mom,11,20.868032455444336,20.517017364501953,21.12961769104004,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
