subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,gpt2,index,1,rand,0,0.6755775809288025,0.6615283489227295,0.6899781823158264,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,rand,1,0.6139666438102722,0.59156733751297,0.6323024034500122,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,rand,2,0.5562531352043152,0.5326703786849976,0.5842759609222412,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,rand,3,0.6652823686599731,0.6503707766532898,0.684452474117279,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,rand,4,0.6543067693710327,0.6261744499206543,0.678184986114502,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,rand,5,0.6980003714561462,0.6828620433807373,0.7117218375205994,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,rand,6,0.7217379212379456,0.7083475589752197,0.7314255833625793,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,rand,7,0.734220564365387,0.7180604934692383,0.7529070973396301,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,rand,8,0.7429327368736267,0.7226566672325134,0.7571645975112915,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,rand,9,0.751654863357544,0.736958384513855,0.7639822363853455,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,rand,10,0.7534955143928528,0.7411456108093262,0.7677680850028992,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,rand,11,0.7543555498123169,0.7437614798545837,0.7634938955307007,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,1,rand,12,0.9761108160018921,0.9746360182762146,0.9774203300476074,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,rand,0,0.7155724167823792,0.711583137512207,0.7202374935150146,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,rand,1,0.739119291305542,0.7361916303634644,0.7415464520454407,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,rand,2,0.6629164218902588,0.6598824858665466,0.6663311123847961,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,gpt2,index,2,rand,3,0.6371513605117798,0.6340019106864929,0.6403863430023193,1600,last,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
