subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased,length,4,corrint,0,18.799949645996094,17.8701114654541,19.726749420166016,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,corrint,1,22.007020950317383,20.973854064941406,23.401124954223633,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,corrint,2,19.86794090270996,18.695051193237305,21.03436279296875,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,corrint,3,23.143394470214844,21.96431541442871,23.848730087280273,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,corrint,4,22.258466720581055,19.794279098510742,23.953968048095703,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,corrint,5,21.428539276123047,19.53824234008789,22.88357162475586,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,corrint,6,20.582796096801758,18.898204803466797,21.822532653808594,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,corrint,7,20.763769149780273,19.17496681213379,22.044776916503906,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,corrint,8,21.71929168701172,20.523271560668945,22.610145568847656,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,corrint,9,23.417518615722656,22.63687515258789,24.288116455078125,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
