subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased,length,4,fishers,0,8.080913543701172,8.008920669555664,8.137470245361328,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,fishers,1,8.165608406066895,8.101214408874512,8.237029075622559,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,fishers,2,8.198968887329102,8.127728462219238,8.298250198364258,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,fishers,3,8.282367706298828,8.222537994384766,8.34936237335205,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,fishers,4,8.315960884094238,8.26594066619873,8.37745475769043,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,fishers,5,8.32215404510498,8.258460998535156,8.395021438598633,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,fishers,6,8.325861930847168,8.274688720703125,8.39714241027832,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,fishers,7,8.321410179138184,8.25861930847168,8.398377418518066,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,fishers,8,8.302257537841797,8.222382545471191,8.383901596069336,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,fishers,9,8.282859802246094,8.180767059326172,8.371174812316895,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,fishers,10,8.290465354919434,8.20511245727539,8.376306533813477,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,fishers,11,8.299171447753906,8.223532676696777,8.38267993927002,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,fishers,12,8.325794219970703,8.244261741638184,8.396760940551758,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,0,8.167632102966309,8.08990478515625,8.238012313842773,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,1,8.248817443847656,8.182290077209473,8.329229354858398,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,2,8.312503814697266,8.232807159423828,8.394241333007812,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,3,8.359248161315918,8.274148941040039,8.424829483032227,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,4,8.373037338256836,8.30422306060791,8.43370532989502,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,5,8.369829177856445,8.306158065795898,8.432476043701172,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,6,8.370238304138184,8.302458763122559,8.429728507995605,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,7,8.368894577026367,8.306525230407715,8.428295135498047,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,8,8.357465744018555,8.300261497497559,8.413525581359863,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,9,8.330477714538574,8.275979042053223,8.387592315673828,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,10,8.3316011428833,8.27684497833252,8.381684303283691,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,11,8.337489128112793,8.281161308288574,8.389412879943848,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,fishers,12,8.364824295043945,8.298347473144531,8.423392295837402,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
