subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased,length,4,rand,0,0.04895644634962082,0.04682275652885437,0.05086865276098251,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,rand,1,0.06921716034412384,0.06749047338962555,0.07060740888118744,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,rand,2,0.0945349931716919,0.09289777278900146,0.09624070674180984,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,rand,3,0.10844527184963226,0.10590337216854095,0.111161008477211,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,rand,4,0.1401306688785553,0.13626129925251007,0.14315640926361084,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,rand,5,0.17353299260139465,0.16961154341697693,0.17630305886268616,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,rand,6,0.18382175266742706,0.18055139482021332,0.18674765527248383,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,rand,7,0.19079343974590302,0.18604746460914612,0.19418154656887054,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,rand,8,0.20068690180778503,0.19722259044647217,0.20398829877376556,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,rand,9,0.1989688128232956,0.19490088522434235,0.2030651718378067,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,rand,10,0.22691646218299866,0.22279678285121918,0.2311430722475052,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,rand,11,0.2899719178676605,0.28384339809417725,0.29487985372543335,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,rand,12,0.22908878326416016,0.22399328649044037,0.23381751775741577,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,0,0.04699798300862312,0.045248907059431076,0.04883929342031479,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,1,0.06634010374546051,0.06424672156572342,0.06866590678691864,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,2,0.09322571009397507,0.09116442501544952,0.09562665224075317,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,3,0.1115524172782898,0.10994415730237961,0.11384160071611404,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,4,0.14487111568450928,0.14117230474948883,0.14795652031898499,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,5,0.18131023645401,0.17679093778133392,0.18511228263378143,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,6,0.19383816421031952,0.18961109220981598,0.19726350903511047,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,7,0.2019915133714676,0.1985417902469635,0.20544089376926422,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,8,0.21451890468597412,0.2108955830335617,0.21911679208278656,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,9,0.21251241862773895,0.20915871858596802,0.21546009182929993,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,10,0.2418127804994583,0.23729436099529266,0.24537698924541473,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,11,0.3077329695224762,0.3027054965496063,0.3136555254459381,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,rand,12,0.24154222011566162,0.23740556836128235,0.2456933856010437,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,0,0.04615715891122818,0.04474445804953575,0.04729759320616722,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,1,0.06588710844516754,0.0641176626086235,0.06740553677082062,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,2,0.09453989565372467,0.09219732880592346,0.09710155427455902,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,3,0.11150084435939789,0.10842326283454895,0.11435384303331375,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,4,0.1462073028087616,0.142653226852417,0.14944583177566528,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,5,0.18393170833587646,0.18083281815052032,0.18692868947982788,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,6,0.19793078303337097,0.19376538693904877,0.20199452340602875,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,7,0.20832467079162598,0.20461705327033997,0.2120891660451889,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,8,0.22215206921100616,0.2173772156238556,0.22576256096363068,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,9,0.21969862282276154,0.215190127491951,0.22287210822105408,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,10,0.24742916226387024,0.2429092973470688,0.2515288293361664,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,11,0.31441059708595276,0.30801504850387573,0.3196759521961212,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,6,rand,12,0.24954530596733093,0.24598954617977142,0.2531340718269348,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,7,rand,0,0.04847954586148262,0.04665827378630638,0.05061230808496475,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,7,rand,1,0.06960447877645493,0.06828080862760544,0.0718931257724762,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,7,rand,2,0.09809284657239914,0.09614814072847366,0.10026156902313232,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,7,rand,3,0.11761249601840973,0.11550731956958771,0.12036380916833878,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,7,rand,4,0.15280744433403015,0.14950405061244965,0.1562572568655014,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,7,rand,5,0.19034810364246368,0.18724499642848969,0.19319114089012146,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,7,rand,6,0.20384521782398224,0.20039857923984528,0.20699326694011688,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,7,rand,7,0.21313826739788055,0.2102421373128891,0.21641409397125244,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,7,rand,8,0.22837717831134796,0.22339347004890442,0.2323058396577835,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,7,rand,9,0.22449597716331482,0.22069565951824188,0.229172021150589,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,7,rand,10,0.2530098557472229,0.24733400344848633,0.25809338688850403,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,7,rand,11,0.3205733597278595,0.314669668674469,0.3269335925579071,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
