subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased,length,4,spect,0,15.983319282531738,14.524469375610352,17.87395668029785,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,spect,1,20.245222091674805,18.444971084594727,22.215835571289062,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,spect,2,22.41640853881836,20.610801696777344,24.688386917114258,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,spect,3,22.825254440307617,21.173049926757812,25.196388244628906,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,spect,4,22.341100692749023,20.987279891967773,24.515644073486328,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,spect,5,24.573326110839844,23.20193862915039,26.85662269592285,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,spect,6,24.39223861694336,23.23104476928711,26.32261848449707,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,spect,7,26.319713592529297,25.465673446655273,28.279293060302734,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,spect,8,29.005687713623047,28.00249671936035,30.99616050720215,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,spect,9,30.179996490478516,28.94891929626465,31.901161193847656,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,spect,10,30.222614288330078,28.857196807861328,31.385469436645508,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,spect,11,32.950950622558594,31.237045288085938,34.825828552246094,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,spect,12,34.246986389160156,32.163414001464844,39.24986267089844,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
