subset,model,feature,class,metric,layer,mean,ci_low,ci_high,n_tokens,word_rep_mode,source_csv,min_class_count,min_type_count,fast_bootstrap,heavy_bootstrap,fast_sample_cap,heavy_sample_cap
fixed_type,bert-base-uncased,length,4,twonn,0,0.11862888932228088,0.11578284204006195,0.12121298909187317,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,twonn,1,0.11644671112298965,0.1139916256070137,0.11960548162460327,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,twonn,2,0.11542044579982758,0.11298757791519165,0.11857142299413681,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,twonn,3,0.11542457342147827,0.11297961324453354,0.1186545118689537,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,twonn,4,0.11548413336277008,0.11301299184560776,0.1187487244606018,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,twonn,5,0.11541983485221863,0.11290869116783142,0.11874446272850037,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,twonn,6,0.11539997160434723,0.11291008442640305,0.11875011026859283,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,twonn,7,0.11555728316307068,0.11303647607564926,0.11892911791801453,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,twonn,8,0.11623743176460266,0.11371055245399475,0.11962495744228363,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,twonn,9,0.11693918704986572,0.11443601548671722,0.12033845484256744,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,twonn,10,0.11659310013055801,0.11414383351802826,0.11995211243629456,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,twonn,11,0.11690257489681244,0.11447353661060333,0.1202390193939209,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,4,twonn,12,0.11938084661960602,0.11685054749250412,0.12281708419322968,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,0,0.1175849661231041,0.11475453525781631,0.12129253894090652,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,1,0.11572103947401047,0.11320067942142487,0.11907383054494858,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,2,0.11473897844552994,0.1122451201081276,0.11804871261119843,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,3,0.11478397250175476,0.11230550706386566,0.11813145130872726,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,4,0.11489024758338928,0.11243250221014023,0.11823464184999466,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,5,0.1149069145321846,0.11247900873422623,0.1182398796081543,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,6,0.1149500161409378,0.11253126710653305,0.11826774477958679,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,7,0.11514070630073547,0.11271573603153229,0.11845850199460983,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,8,0.1158810630440712,0.11345964670181274,0.11918802559375763,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,9,0.11665879189968109,0.11422474682331085,0.1199704185128212,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,10,0.11626281589269638,0.11382593214511871,0.11952488869428635,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,11,0.11671730130910873,0.11430510133504868,0.12002013623714447,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
fixed_type,bert-base-uncased,length,5,twonn,12,0.11923240125179291,0.1167687177658081,0.12263668328523636,1557,first,en_ewt-ud-train_sentences.csv,1000,1000,20,8,30000,3000
