feature,feature_label,metric_label,n_classes,pearson_r,spearman_r,mean_gpt_minus_bert,median_gpt_minus_bert,mean_abs_delta
arity,Arity,IsoScore,5,-0.20817469268443342,0.39999999999999997,-0.030219486076384756,-0.0340829711640254,0.030219486076384756
arity,Arity,LID,5,0.09138894470204753,0.49999999999999994,-530.0480072021485,-517.0599975585938,530.0480072021485
arity,Arity,NLID,5,0.9571821748964975,0.7,-17.96210460662842,-19.03471660614013,17.96210460662842
head_dist,Head distance,IsoScore,12,0.3375991893475549,0.37762237762237766,-0.01749059360008686,-0.015607238339725849,0.01749059360008686
head_dist,Head distance,LID,12,0.7915063241362724,0.9230769230769231,-486.15750312805176,-488.2150192260742,486.15750312805176
head_dist,Head distance,NLID,12,0.9038591783408225,0.8531468531468532,-12.836038589477539,-12.102450847625732,12.836038589477539
index,Index,IsoScore,10,0.43826027688661834,0.12727272727272726,-0.022973277559503902,-0.02328983595361935,0.022973277559503902
index,Index,LID,10,0.9079106188566359,0.4666666666666666,-502.45500245094297,-468.0500030517578,502.45500245094297
index,Index,NLID,10,0.948280329743265,0.7575757575757575,-14.966988790035249,-14.860492467880249,14.966988790035249
length,Length,IsoScore,10,0.14394563797355553,0.33333333333333326,-0.02780120919924229,-0.0325693075428717,0.02780120919924229
length,Length,LID,10,0.6952801526530847,0.13939393939393938,-531.4799926757812,-520.8249969482422,531.4799926757812
length,Length,NLID,10,0.8315910027018891,0.7696969696969697,-12.927468729019164,-13.34922456741333,12.927468729019164
pos,POS,IsoScore,13,0.6091249860436877,0.6978021978021978,-0.020707607466297653,-0.0211524376645684,0.020707607466297653
pos,POS,LID,13,0.6007365767854523,0.7472527472527472,-576.7307692307693,-581.4000244140625,576.7307692307693
pos,POS,NLID,13,0.5126783827875219,0.5714285714285714,-14.962442874908447,-13.818266153335571,14.962442874908447
relation_type,Relation,IsoScore,10,-0.10090900120404322,-0.22424242424242422,-0.021938221156597132,-0.02298301737755535,0.021938221156597132
relation_type,Relation,LID,10,0.5129092435263308,0.41818181818181815,-481.9549964904785,-502.674991607666,481.9549964904785
relation_type,Relation,NLID,10,0.6308769237186329,0.5515151515151515,-11.970983648300171,-11.313293933868408,11.970983648300171
