model_bert,feature,feature_label,metric_label,metric_source_bert,class,layer,bert_mean,ci_low_bert,ci_high_bert,n_tokens_bert,source_csv_bert,model_gpt,metric_source_gpt,gpt_mean,ci_low_gpt,ci_high_gpt,n_tokens_gpt,source_csv_gpt,delta_gpt_minus_bert,abs_delta,ratio_gpt_to_bert
BERT,arity,Arity,IsoScore,iso,0,12,0.0128892306238412,0.0126115754246711,0.0132957678288221,30000,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,GPT,iso,0.0017304703360423,0.0017198089044541,0.0017416373593732,30000,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_iso_gpt2.csv,-0.011158760287798901,0.011158760287798901,0.1342570698394868
BERT,arity,Arity,IsoScore,iso,1,12,0.0326408185064792,0.0317584425210952,0.0333397351205349,20239,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,GPT,iso,0.001687592593953,0.0016732094809412,0.0017033274052664,20239,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_iso_gpt2.csv,-0.0309532259125262,0.0309532259125262,0.05170190795362601
BERT,arity,Arity,IsoScore,iso,2,12,0.0380358286201953,0.0371457785367965,0.0388606414198875,18037,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,GPT,iso,0.0017230323283001,0.0017081501428037,0.0017374743474647,18037,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_iso_gpt2.csv,-0.0363127962918952,0.0363127962918952,0.045300244290859173
BERT,arity,Arity,IsoScore,iso,3,12,0.0357803851366043,0.0349651500582695,0.0366191789507865,13546,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,GPT,iso,0.0016974139725789,0.0016818990698084,0.0017139635747298,13546,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_iso_gpt2.csv,-0.0340829711640254,0.0340829711640254,0.04743979043541372
BERT,arity,Arity,IsoScore,iso,4,12,0.0403220355510711,0.0396358668804168,0.0412342883646488,14030,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_iso_bert-base-uncased.csv,GPT,iso,0.001732358825393,0.0017079426907002,0.0017584124580025,14030,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_iso_gpt2.csv,-0.0385896767256781,0.0385896767256781,0.0429630796589827
BERT,arity,Arity,LID,pca99,0,12,702.9400024414062,702.0,703.0,30000,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,GPT,pca99,124.66000366210938,119.2249984741211,129.77499389648438,30000,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_pca99_gpt2.csv,-578.2799987792969,578.2799987792969,0.177340887172658
BERT,arity,Arity,LID,pca99,1,12,705.4400024414062,705.0,706.0,20239,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,GPT,pca99,191.97999572753903,185.2250061035156,204.5500030517578,20239,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_pca99_gpt2.csv,-513.4600067138672,513.4600067138672,0.2721422021194281
BERT,arity,Arity,LID,pca99,2,12,703.9600219726562,703.2249755859375,704.0,18037,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,GPT,pca99,192.8999938964844,185.0,202.5500030517578,18037,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_pca99_gpt2.csv,-511.0600280761719,511.0600280761719,0.2740212339841895
BERT,arity,Arity,LID,pca99,3,12,699.0,699.0,699.0,13546,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,GPT,pca99,168.6199951171875,161.4499969482422,176.0,13546,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_pca99_gpt2.csv,-530.3800048828125,530.3800048828125,0.24123032205606224
BERT,arity,Arity,LID,pca99,4,12,697.1799926757812,697.0,698.0,14030,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,GPT,pca99,180.1199951171875,169.0,190.7749938964844,14030,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_pca99_gpt2.csv,-517.0599975585938,517.0599975585938,0.2583550833492594
BERT,arity,Arity,NLID,gride,0,12,19.440401077270508,19.132673263549805,19.81858253479004,30000,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,GPT,gride,7.176501274108887,7.029927730560303,7.310005187988281,30000,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_gride_gpt2.csv,-12.263899803161621,12.263899803161621,0.369153971956863
BERT,arity,Arity,NLID,gride,1,12,27.70027542114257,26.82968521118164,28.409421920776367,20239,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,GPT,gride,8.665558815002441,8.503085136413574,8.812149047851562,20239,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_gride_gpt2.csv,-19.03471660614013,19.03471660614013,0.31283294780485643
BERT,arity,Arity,NLID,gride,2,12,28.740886688232425,28.175434112548828,29.27538299560547,18037,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,GPT,gride,8.893715858459473,8.743228912353516,9.02765941619873,18037,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_gride_gpt2.csv,-19.847170829772953,19.847170829772953,0.30944472781700527
BERT,arity,Arity,NLID,gride,3,12,28.83230209350586,28.45959854125977,29.469858169555664,13546,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,GPT,gride,9.102095603942873,8.81214714050293,9.3003568649292,13546,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_gride_gpt2.csv,-19.73020648956299,19.73020648956299,0.3156909071784807
BERT,arity,Arity,NLID,gride,4,12,28.36086082458496,27.849193572998047,28.93566131591797,14030,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,GPT,gride,9.426331520080566,9.249678611755373,9.600001335144045,14030,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2/tables_ARITY/arity_bootstrap/arity_raw_gride_gpt2.csv,-18.934529304504395,18.934529304504395,0.3323711356430068
