model,feature,feature_label,metric_label,metric_source,n_classes,mean_delta,median_delta,min_delta,max_delta,mean_abs_delta,pct_positive,pct_negative
BERT,arity,Arity,IsoScore,iso,5,-0.01368612386286262,-0.011446043848991401,-0.025365222245454795,-0.0046886652708054005,0.01368612386286262,0.0,100.0
BERT,arity,Arity,LID,pca99,5,45.5760009765625,28.239990234375,25.300048828125,118.760009765625,45.5760009765625,100.0,0.0
BERT,arity,Arity,NLID,gride,5,14.03848762512207,14.630732536315918,10.059228897094723,17.030488967895508,14.03848762512207,100.0,0.0
BERT,head_dist,Head distance,IsoScore,iso,12,-0.003482471957492359,-0.0030934342648834003,-0.017427925020456304,0.0121103823184967,0.007223815152732041,33.33333333333333,66.66666666666666
BERT,head_dist,Head distance,LID,lpca99,12,108.56667073567708,100.52499389648438,23.5,216.60000610351562,108.56667073567708,100.0,0.0
BERT,head_dist,Head distance,NLID,gride,12,12.468481982747713,12.817570686340332,6.01199913024902,18.84093576669693,12.468481982747713,100.0,0.0
BERT,index,Index,IsoScore,iso,10,0.0068970919586717905,0.005636533722281449,-0.004997961223125501,0.016263164579868303,0.00789668420329689,90.0,10.0
BERT,index,Index,LID,lpca99,10,88.87000122070313,74.4000244140625,62.1500244140625,179.79998779296875,88.87000122070313,100.0,0.0
BERT,index,Index,NLID,gride,10,19.798182347416876,20.813127279281616,15.62330150604248,22.38497957587242,19.798182347416876,100.0,0.0
BERT,length,Length,IsoScore,iso,10,-0.014491502102464438,-0.0145715195685625,-0.0417193286120892,0.0177180580794812,0.021568082738667737,30.0,70.0
BERT,length,Length,LID,lpca99,10,231.16999053955078,112.39999389648438,44.199951171875,575.8000259399414,231.16999053955078,100.0,0.0
BERT,length,Length,NLID,gride,10,16.0612844273448,16.880930423736572,11.129247665405273,19.23399382829666,16.0612844273448,100.0,0.0
BERT,pos,POS,IsoScore,iso,13,0.0011271730316086376,0.0040896632708609,-0.0296680480241776,0.0188106982968748,0.011776206746267594,61.53846153846154,38.46153846153847
BERT,pos,POS,LID,lpca99,13,396.13461538461536,545.2500114440918,27.9000244140625,635.4999771118164,396.13461538461536,100.0,0.0
BERT,pos,POS,NLID,gride,13,14.421703352377964,15.123159110546112,3.1077442169189418,22.534766584634784,14.421703352377964,100.0,0.0
BERT,relation_type,Relation,IsoScore,iso,10,-0.0010739291785284999,-5.171250086275013e-05,-0.017621580511331603,0.016514204442501103,0.00955395705532286,50.0,50.0
BERT,relation_type,Relation,LID,lpca99,10,251.24999809265137,112.55001831054688,17.79998779296875,636.9500122070312,251.24999809265137,100.0,0.0
BERT,relation_type,Relation,NLID,gride,10,14.969024577736855,14.95008873939514,7.012712478637695,22.652078539133072,14.969024577736855,100.0,0.0
GPT,arity,Arity,IsoScore,iso,5,-0.005348569853231321,-0.0065750667126850005,-0.006751082488335699,-0.0018079433357343,0.005348569853231321,0.0,100.0
GPT,arity,Arity,LID,pca99,5,-462.8880096435547,-470.7200164794922,-485.1600341796875,-418.1999816894531,462.8880096435547,0.0,100.0
GPT,arity,Arity,NLID,gride,5,-7.3192747116088865,-7.790514945983885,-13.420008659362793,4.168362617492676,8.986619758605958,20.0,80.0
GPT,head_dist,Head distance,IsoScore,iso,12,-0.0055308270190531994,-0.00473083381075415,-0.008581708883866699,-0.0038639199919999,0.0055308270190531994,0.0,100.0
GPT,head_dist,Head distance,LID,pca99,12,-393.53499539693195,-428.41999435424805,-545.8400115966797,-226.57998657226568,393.53499539693195,0.0,100.0
GPT,head_dist,Head distance,NLID,gride,12,1.4857741544644032,3.7256982326507564,-9.547736167907717,6.675593793392181,4.822910899917285,66.66666666666666,33.33333333333333
GPT,index,Index,IsoScore,iso,10,-0.009838203620165579,-0.0108941660728306,-0.0119284988613799,-0.001018781797029,0.009838203620165579,0.0,100.0
GPT,index,Index,LID,lpca99,10,-424.8000006198883,-412.09999084472656,-521.1999969482422,-392.5999755859375,424.8000006198883,0.0,100.0
GPT,index,Index,NLID,gride,10,4.024889224767685,4.750842213630676,-1.1254453659057617,6.560599148273467,4.26523796916008,80.0,20.0
GPT,length,Length,IsoScore,iso,10,-0.00468911146745085,-0.0048432426992804,-0.008177325245924301,-0.0012378004612400998,0.00468911146745085,0.0,100.0
GPT,length,Length,LID,lpca99,10,-280.71000480651855,-384.3250045776367,-438.9000244140625,2.1000022888183594,281.35000648498533,20.0,80.0
GPT,length,Length,NLID,gride,10,1.4920004665851596,1.5759491920471191,-4.269222259521483,7.5187183022499084,4.098212891817093,60.0,40.0
GPT,pos,POS,IsoScore,iso,13,-0.0029640317751237844,-0.0019888815004378,-0.0078157084062695,-0.000580960419029,0.0029640317751237844,0.0,100.0
GPT,pos,POS,LID,lpca99,13,-64.3076923076923,-28.0,-248.0,67.0,102.3076923076923,38.46153846153847,61.53846153846154
GPT,pos,POS,NLID,gride,13,-3.7422909369835486,-0.6560068130493164,-19.299893856048584,4.395563364028931,5.6061913050138035,46.15384615384615,53.84615384615385
GPT,relation_type,Relation,IsoScore,iso,10,-0.00508576680440455,-0.005343350116163451,-0.0087670085486025,-0.0005058075767010997,0.00508576680440455,0.0,100.0
GPT,relation_type,Relation,LID,lpca99,10,-219.22500743865967,-334.97501373291016,-481.3000030517578,260.6000003814697,309.2550065994263,30.0,70.0
GPT,relation_type,Relation,NLID,gride,10,2.00486798286438,4.818966865539551,-15.34096527099609,9.391539216041563,6.340437746047973,70.0,30.0
