model_key,comparison,feature,metric_label,metric_key,reference_metric,class_key,class,layer,mean_value,reference_value,mean_rank_within_plot,reference_rank_within_plot,mean_path,reference_path
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,1,1,0,0.0140572013333439,0.0063139111734926,2.0,2.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,1,1,1,0.0201263781636953,0.0081846378743648,3.0,4.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,1,1,2,0.027508670464158,0.0100658237934112,5.0,10.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,1,1,3,0.0321122519671916,0.01027028914541,7.0,12.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,1,1,4,0.0340633653104305,0.0094045894220471,8.0,5.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,1,1,5,0.0412022024393081,0.0103138713166117,11.0,13.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,1,1,6,0.0419833697378635,0.0095327971503138,13.0,8.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,1,1,7,0.0445351153612136,0.0095502994954586,15.0,9.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,1,1,8,0.0426397211849689,0.0094990245997905,14.0,7.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,1,1,9,0.0499785952270031,0.0112877488136291,17.0,15.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
