model,comparison,canonical,metric,metric_label,n_layers,median_rel_diff_pct,mean_rel_diff_pct,max_rel_diff_pct,median_abs_diff,mean_abs_diff,spearman_r,pearson_r,layer12_mean_value,layer12_first_value,layer12_rel_diff_pct,source_csv,layer12_last_value
bert-base-uncased,mean vs first,True,corrint,CorrInt,13,6.0700738949724355,7.518227832705064,17.259043714720068,0.5698990821838379,0.8861385492178109,0.9560439560439561,0.9810178808606459,14.225259780883787,13.991071701049805,1.6738394658960296,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_corrint.csv,
bert-base-uncased,mean vs last,False,corrint,CorrInt,13,10.955721167654575,10.61303767963462,22.022728626863902,1.0272493362426758,1.1401551686800442,0.9615384615384615,0.9785077386248004,14.225259780883787,,2.856712177214887,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_corrint.csv,13.830171585083008
gpt2,mean vs first,False,corrint,CorrInt,13,3.2276954220863097,5.371790069156936,14.882766108940817,0.3343954086303711,0.5174212822547323,0.9725274725274725,0.9762399543054997,3.489226818084717,3.5552287101745605,1.856473871876532,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_corrint.csv,
gpt2,mean vs last,True,corrint,CorrInt,13,4.098574601134381,4.610702601765742,10.598085371519836,0.35700130462646307,0.40338563919067383,0.9725274725274725,0.9847147248478465,3.489226818084717,,4.443184127211309,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_corrint.csv,3.651468276977539
bert-base-uncased,mean vs first,True,erank,ERank,13,0.6500977909328575,0.7981080384537318,1.4331105954812091,0.5066909790039062,0.5868025559645432,0.9945054945054945,0.9993241914300904,65.36644744873047,66.31684112548828,1.4331105954812091,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_erank.csv,
bert-base-uncased,mean vs last,False,erank,ERank,13,0.6859681771557055,0.7220674959085353,1.5034697130136732,0.486236572265625,0.5110144981971154,0.9945054945054945,0.9997061603147803,65.36644744873047,,1.3404358025618266,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_erank.csv,66.25454711914062
gpt2,mean vs first,False,erank,ERank,13,4.105091140592635,6.571016011302342,22.85746842056563,0.06793153285980225,0.5953571246220518,1.0,0.996718487192874,2.988393545150757,2.904582500457764,2.88547647311736,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_erank.csv,
gpt2,mean vs last,True,erank,ERank,13,3.0582118753899468,4.289044352107205,11.83743737740963,0.045586228370666504,0.529006637059725,1.0,0.999649268635426,2.988393545150757,,3.0582118753899468,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_erank.csv,3.0826680660247803
bert-base-uncased,mean vs first,True,ess,ESS,13,2.304736757920362,2.8489557213981627,5.835543239049256,4.016723632812472,3.815753643329325,1.0,0.9996886386271154,68.63458251953125,72.88799285888672,5.835543239049256,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_ess.csv,
bert-base-uncased,mean vs last,False,ess,ESS,13,1.5451192015284623,2.1819057016943275,5.769567165670566,2.045036315917983,2.4108572739821224,1.0,0.9997240805210351,68.63458251953125,,5.769567165670566,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_ess.csv,72.83695983886719
