feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,0,669.0810560110792,622.6123080904235,46.46874792065569,44.864588926034095,48.07290691527728,0.8184484666436711,56.776632634204496,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,1,682.415429921229,659.7771516664504,22.638278254778584,21.61541907502981,23.661137434527358,0.5218669284432516,43.3794077013261,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,2,681.8666408794459,674.5629481714611,7.303692707984737,6.3805993589540835,8.226786057015392,0.47096599440339504,15.507898223600678,3.067567266585528e-54,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,3,683.2042049831814,681.344169902048,1.8600350811334465,1.1918405684514506,2.5282295938154427,0.3409155676948959,5.455999248465222,4.869819871241588e-08,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,4,687.5112190877385,689.1686523767952,-1.657433289056712,-2.1202337178075843,-1.1946328603058398,0.23612266773003684,-7.01937389150492,2.228646635055676e-12,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,5,689.7392991311935,696.805708712355,-7.066409581161452,-7.420017424496319,-6.7128017378265845,0.18041216496676876,-39.168143580911284,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,6,693.9315833525275,703.3813738919274,-9.449790539399942,-9.890734785589201,-9.008846293210683,0.22497155417819378,-42.00437950441958,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,7,695.9824485059471,707.1800195067576,-11.197571000810512,-11.197571000810512,-11.197571000810512,0.0,,,observed_negative_group_greater_no_ci,no_source_uncertainty,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,8,696.553333190617,708.2364250178094,-11.68309182719247,-12.090045651281551,-11.276138003103389,0.20762950208626602,-56.268939191205945,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,9,699.102092250451,709.6219474136285,-10.519855163177454,-10.987998242267748,-10.051712084087159,0.23884850973994612,-44.044047729798606,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,10,697.6554459233473,707.5497341530726,-9.894288229725248,-10.30124205381433,-9.487334405636167,0.20762950208626602,-47.65357586618092,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
