feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,0,12.200620882331997,9.978845057203412,2.221775825128585,0.30981783912733496,4.133733811129835,0.9754887683679848,2.2776026717823386,0.02275026117649516,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,1,13.01355877792728,10.757008729185747,2.2565500487415324,0.7560509425153981,3.7570491549676666,0.7655607684827216,2.9475779606808077,0.003202739835643673,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,2,14.369330822989186,12.505911813552704,1.8634190094364822,0.5602836231608066,3.166554395712158,0.6648649929977937,2.8027028480392047,0.0050676336906382005,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,3,15.52377263677269,13.69693983205529,1.8268328047173998,0.6724101169890175,2.981255492445782,0.5889911672083583,3.1016302220219023,0.0019245820192476722,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,4,16.48181102875526,14.013767761495924,2.468043267259336,1.5718848879799543,3.364201646538718,0.45722366289764377,5.397890502031703,6.74289968099772e-08,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,5,17.743251855040686,15.442849692864772,2.3004021621759136,1.5224108273958534,3.078393496955974,0.3969343544796225,5.79542218055608,6.814952349116376e-09,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,6,19.41421242620691,16.765973406068277,2.6482390201386323,1.9369976229524322,3.3594804173248325,0.36287826387051036,7.2978717211996775,2.923551617796345e-13,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,7,21.41235003624925,18.081709736412282,3.3306402998369684,2.6240999123949758,4.037180687278961,0.3604797895112206,9.239464726588496,2.4773341174115978e-20,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,8,22.87603862589257,18.607689095876047,4.268349530016522,3.5776529023178387,4.959046157715205,0.35239623862177705,12.112358368835185,9.084404195991478e-34,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,9,25.19570249317347,21.511756048367854,3.683946444805617,2.911902551190588,4.455990338420646,0.39389994572195375,9.35249289779299,8.560581008814793e-21,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,10,25.51301430590712,23.25954976384908,2.2534645420580404,1.5782933687604475,2.9286357153556333,0.34447508841713925,6.541734418046585,6.080942237695867e-11,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_gride_bert-base-uncased.csv,11,26.456784910141714,22.980167458506774,3.47661745163494,2.828758664599195,4.1244762386706855,0.3305401974672171,10.51798685386745,7.138244796217627e-26,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
