feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,0,655.5896734311885,619.3300395003498,36.25963393083873,33.51244235432916,39.0068255073483,1.4016283553620275,25.86964924912154,1.4626970840649352e-147,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,1,584.1884195458158,565.6625250715297,18.525894474286133,17.18822361328554,19.863565335286726,0.6824851331635683,27.144759019748655,2.9197150504733814e-162,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,2,596.8641557272095,586.8789003070805,9.985255420129079,8.838803490175287,11.13170735008287,0.5849244540580569,17.07101720718619,2.4391284816369967e-65,supports_positive_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,3,628.1077727567078,635.9049998184115,-7.797227061703666,-8.417801133175372,-7.176652990231959,0.31661942422025824,-24.62649624515607,6.573111724926487e-134,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,4,647.9356310817797,664.2497297782784,-16.314098696498718,-16.819908009670478,-15.808289383326956,0.25806597610804144,-63.216774805171084,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,5,655.1069982046084,673.7943819087707,-18.687383704162244,-19.193193017334004,-18.181574390990484,0.25806597610804144,-72.4132021818274,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,6,660.0215651536676,682.011265525423,-21.989700371755475,-22.495509684927235,-21.483891058583716,0.25806597610804144,-85.20960687413248,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,7,666.4254276781298,688.8526163093277,-22.42718863119785,-22.831574245115444,-22.022803017280257,0.20631919077428232,-108.70141816198611,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,8,675.0889438001054,695.6058855468414,-20.516941746735938,-20.92132736065353,-20.112556132818344,0.20631919077428232,-99.44272110480463,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,9,681.2928252254745,699.1230671553521,-17.830241929877616,-18.336051243049376,-17.324432616705856,0.25806597610804144,-69.0917965970564,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,10,684.0699412441695,701.4638805569055,-17.393939312735938,-17.873428109356396,-16.91445051611548,0.24463714113288662,-71.10097523289635,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,High-arity tokens have higher geometry scores than low-arity tokens.,token_weighted_positive_minus_negative
