feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),0,9.976847150061177,9.16734744855221,10.786346851570144,0.4130100517902895,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),1,8.912482918348317,8.352559998167054,9.47240583852958,0.28567495927615477,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),2,8.386560515729224,7.7803115981220135,8.992809433336435,0.309310672248577,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),3,10.471680827798465,9.81376856277607,11.12959309282086,0.3356695229706094,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),4,13.018048694785765,12.403317039825764,13.632780349745767,0.31363859946938827,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),5,14.929981418951073,14.38761968528662,15.472343152615526,0.2767151702369657,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),6,16.15202459686013,15.668226405864448,16.635822787855812,0.2468358117324905,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),7,17.11436917293151,16.671711750004533,17.55702659585849,0.22584562394233484,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),8,17.63256847605131,17.213857702425447,18.051279249677176,0.2136279457274822,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),9,18.39563499315772,18.047403967339676,18.743866018975766,0.17766889072349157,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),10,19.12828968874643,18.79167670939185,19.46490266810101,0.17174131599723527,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),11,19.799191139470153,19.460114622916652,20.138267656023654,0.1729982227313777,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,negative,Low arity (<= 1),12,8.181623035273201,8.095757406540928,8.267488664005475,0.04380899425115973,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,positive,High arity (>= 3),0,18.882662681936825,17.77971133802124,19.98561402585241,0.5627302775079511,27294,"3,4",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,gride,NLID,Nonlinear ID,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_gride_gpt2.csv,positive,High arity (>= 3),1,11.238007176705942,10.484394793421384,11.9916195599905,0.3844961139206927,27294,"3,4",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
