feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,negative,Low arity (<= 1),0,0.007170492218913202,0.00711833392621133,0.007222650511615075,2.661137382748607e-05,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,negative,Low arity (<= 1),1,0.01546611879625721,0.01529310134065623,0.01563913625185819,8.8274212041316e-05,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,negative,Low arity (<= 1),2,0.01925697007071758,0.019031966029576457,0.019481974111858702,0.00011479798017404136,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,negative,Low arity (<= 1),3,0.019778604382549546,0.01952498398279265,0.020032224782306443,0.00012939816314127463,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,negative,Low arity (<= 1),4,0.021932106077699333,0.02164194357070344,0.022222268584695226,0.00014804209540606814,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,negative,Low arity (<= 1),5,0.02214581080214335,0.021865255458416888,0.022426366145869812,0.00014314048149309313,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,negative,Low arity (<= 1),6,0.023260633341104626,0.022947962876365656,0.023573303805843597,0.00015952574731580046,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,negative,Low arity (<= 1),7,0.022641247922352725,0.022342192923518956,0.022940302921186494,0.0001525790810376377,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,negative,Low arity (<= 1),8,0.022896381977307693,0.02258507061198094,0.023207693342634447,0.0001588323292483433,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,negative,Low arity (<= 1),9,0.024308480747567307,0.02397398274793323,0.024642978747201384,0.0001706622447112627,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,negative,Low arity (<= 1),10,0.028343016482027437,0.02792776490156665,0.028758268062488226,0.00021186305125550544,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,high_low,High arity (>= 3),Low arity (<= 1),high_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,negative,Low arity (<= 1),11,0.018981937422757385,0.01879435563146863,0.01916951921404614,9.570499555548793e-05,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
