feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,0,672.8689000102917,622.6123080904235,50.25659191986813,48.741643151588335,51.77154068814792,0.7729330450407096,65.02062790861939,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,1,685.5807144291825,659.7771516664504,25.8035627627321,24.8639808586672,26.743144666796997,0.4793785224820916,53.8271148009057,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,2,685.0433260089898,674.5629481714611,10.480377837528636,9.579347046214671,11.3814086288426,0.45970958740508333,22.79782307061962,4.818901713868583e-115,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,3,686.1841220808461,681.344169902048,4.839952178798171,4.2025833196204045,5.477321037975938,0.3251881934580442,14.883542133957032,4.215758809537297e-50,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,4,690.251106079388,689.1686523767952,1.0824537025928294,0.6653932840402785,1.4995141211453802,0.21278592783293407,5.087054927065961,3.636665354635929e-07,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,5,692.3494612771334,696.805708712355,-4.456247435221599,-4.747440949468007,-4.16505392097519,0.14856811951347376,-29.994641177493385,1.1526862744596249e-197,supports_negative_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,6,696.331250795372,703.3813738919274,-7.050123096555467,-7.441749441311492,-6.658496751799442,0.19980935956940063,-35.28424850441862,1.0243102039229044e-272,supports_negative_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,7,698.3540856272301,707.1800195067576,-8.825933879527497,-8.825933879527497,-8.825933879527497,0.0,,,observed_negative_group_greater_no_ci,no_source_uncertainty,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,8,698.9523067545035,708.2364250178094,-9.284118263305913,-9.638189683801786,-8.930046842810041,0.18064868392646535,-51.3932239167881,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,bert,bert-base-uncased,pca99,LID,Linear ID,bert/tables_ARITY/arity_bootstrap/arity_raw_pca99_bert-base-uncased.csv,9,701.7348692706249,709.6219474136285,-7.887078143003578,-8.310059346334624,-7.464096939672532,0.2158067363933906,-36.54695064118087,1.9935364614874344e-292,supports_negative_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
