feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,0,660.1641378383994,619.3300395003498,40.83409833804956,38.15462323658462,43.513573439514495,1.3670791334004793,29.869593749469807,4.887166817964208e-196,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,1,587.9572830417984,565.6625250715297,22.294757970268734,21.019498062746628,23.57001787779084,0.6506428099602576,34.26574093953415,2.5423288981322778e-257,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,2,601.3938124276399,586.8789003070805,14.514912120559416,13.479301772642941,15.55052246847589,0.5283726264879971,27.470976717771254,3.902441436744385e-166,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,3,632.6986320434353,635.9049998184115,-3.206367774976229,-3.719498324132805,-2.6932372258196535,0.26180130059008966,-12.247333255217619,1.73611262427772e-34,supports_negative_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,4,652.2260246011426,664.2497297782784,-12.023705177135753,-12.487824885268475,-11.55958546900303,0.23679576945547065,-50.77668914772063,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,5,659.0016308242566,673.7943819087707,-14.792751084514066,-15.256870792646788,-14.328631376381344,0.23679576945547065,-62.47050409106163,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,6,664.3565738388729,682.011265525423,-17.65469168655011,-18.118811394682833,-17.190571978417385,0.23679576945547065,-74.55661782787917,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,7,670.6415485555631,688.8526163093277,-18.21106775376461,-18.561912116594375,-17.860223390934845,0.17900222593355344,-101.73654354736713,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,8,679.1784586652063,695.6058855468414,-16.42742688163503,-16.778271244464793,-16.076582518805264,0.17900222593355344,-91.77219331190314,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,9,685.3260379869528,699.1230671553521,-13.797029168399376,-14.261148876532099,-13.332909460266654,0.23679576945547065,-58.26552222671319,0.0,supports_negative_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
