feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),0,619.3300395003498,616.7027818509961,621.9572971497035,1.3404375762009086,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),1,565.6625250715297,564.4502990013337,566.8747511417256,0.6184826888754704,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),2,586.8789003070805,585.9465275407065,587.8112730734545,0.475700391007162,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),3,635.9049998184115,635.5433421306822,636.2666575061409,0.18451922843333954,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),4,664.2497297782784,663.888072090549,664.6113874660077,0.18451922843333954,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),5,673.7943819087707,673.4327242210413,674.1560395965,0.18451922843333954,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),6,682.011265525423,681.6496078376937,682.3729232131524,0.18451922843333954,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),7,688.8526163093277,688.6564506993295,689.0487819193258,0.10008449489702909,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),8,695.6058855468414,695.4097199368432,695.8020511568395,0.10008449489702909,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),9,699.1230671553521,698.7614094676228,699.4847248430815,0.18451922843333954,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),10,701.4638805569055,701.1022228691761,701.8255382446348,0.18451922843333954,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),11,700.9808079748655,700.6191502871361,701.3424656625948,0.18451922843333954,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,negative,Low arity (<= 1),12,231.28603192009723,226.5394314986792,236.03263234151527,2.421734908886748,49369,"0,1",2,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,positive,Mid arity (2-4 dependents),0,660.1641378383994,659.6377310914037,660.6905445853951,0.26857487091617216,44840,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,positive,Mid arity (2-4 dependents),1,587.9572830417984,587.561308564754,588.3532575188428,0.20202779441044214,44840,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,positive,Mid arity (2-4 dependents),2,601.3938124276399,600.9430688006903,601.8445560545895,0.22997123823960627,44840,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,pca99,LID,Linear ID,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_pca99_gpt2.csv,positive,Mid arity (2-4 dependents),3,632.6986320434353,632.3346173769945,633.062646709876,0.1857217685922346,44840,"2,3,4",3,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
