feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,layer,positive_mean,negative_mean,positive_minus_negative,ci_low,ci_high,se,z_value,p_value_two_sided,support,ci_method,hypothesis,aggregation
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,0,0.008267209490650613,0.007170492218913202,0.0010967172717374109,0.0010186905810959396,0.0011747439623788821,3.9809536041566906e-05,27.549109605102647,4.535410750552772e-167,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,1,0.017521320308212157,0.01546611879625721,0.0020552015119549467,0.0018110769445397893,0.002299326079370104,0.0001245533507220191,16.50057184364145,3.6343453110672405e-61,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,2,0.026252969594408093,0.01925697007071758,0.006995999523690514,0.006625858607229403,0.0073661404401516245,0.00018884740635770943,37.04578028696295,2.0999976473165052e-300,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,3,0.028271650831089585,0.019778604382549546,0.008493046448540039,0.008129429165818814,0.008856663731261264,0.00018551902179654337,45.77992254537795,0.0,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,4,0.028897319435591408,0.021932106077699333,0.006965213357892075,0.006565519252187325,0.0073649074635968245,0.00020392556413507645,34.15566551174746,1.1017284413813949e-255,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,5,0.02887551444067541,0.02214581080214335,0.006729703638532061,0.006335939719751244,0.007123467557312877,0.00020089995856164116,33.49778510017571,5.191224930878513e-246,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,6,0.028945795304651162,0.023260633341104626,0.005685161963546535,0.005278435098710834,0.006091888828382236,0.00020751370654882695,27.396561210807754,3.0138565096888143e-165,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,7,0.02728256548744066,0.022641247922352725,0.004641317565087934,0.004269556040230902,0.005013079089944966,0.00018967424737603667,24.469940591810225,3.087420762137513e-132,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,8,0.025060990046174698,0.022896381977307693,0.0021646080688670043,0.0017928980953152982,0.0025363180424187106,0.00018964794568964599,11.41382291801531,3.567001907655089e-30,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
arity,Dependency Arity,3,mid_low,Mid arity (2-4 dependents),Low arity (<= 1),mid_arity,low_arity,gpt,gpt2,iso,isoscore,Isotropy,gpt2_no_index/tables_ARITY_no_index/arity_bootstrap/arity_raw_iso_gpt2.csv,9,0.02717895911375917,0.024308480747567307,0.0028704783661918643,0.0024457802736824684,0.00329517645870126,0.00021668270025989577,13.247381368004579,4.6722308883117825e-40,supports_positive_group_greater,normal_approx_from_independent_group_ci,Mid-arity tokens (2-4 dependents) occupy higher-dimensional and more isotropic subspaces than low-arity tokens.,token_weighted_positive_minus_negative
