feature,feature_display,feature_order,contrast,positive_label,negative_label,positive_name,negative_name,model_short,model,metric,metric_label,metric_family,source_path,group_key,class_group,layer,mean,ci_low,ci_high,se,n_tokens,class_members,n_class_members,ci_method,aggregation
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),0,9.64605294838036,8.70162829835171,10.59047759840901,0.4818493112391065,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),1,14.85159026891958,13.855867637541785,15.847312900297375,0.5080217507029567,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),2,19.506977182482625,18.371681519290235,20.642272845675016,0.5792324812206082,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),3,20.531558018487615,19.55205858744569,21.51105744952954,0.499744607674452,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),4,18.209821828680294,17.618423346922988,18.8012203104376,0.30173391926393084,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),5,18.92529044942324,18.411404155093436,19.439176743753045,0.2621868848621453,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),6,17.391407238757722,16.96262751767417,17.820186959841273,0.21876516381813746,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),7,17.919013314821207,17.54331341912884,18.294713210513574,0.19168362025120844,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),8,17.709352160183077,17.292506701062266,18.126197619303888,0.2126762546534759,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),9,20.524969833206896,19.986615294057934,21.063324372355858,0.27467068323926697,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),10,25.62052928802704,24.23725969564361,27.00379888041047,0.7057497920323639,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),11,23.53094424032151,22.80555527933602,24.256333201307,0.37009640866606686,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,negative,After Head (dist < 0),12,21.9624902609764,21.433017018642353,22.491963503310444,0.27013940935410413,70029,"-1,-2,-3,-4,-5,-6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,positive,Before Head (dist > 0),0,4.856707022648304,4.4926572920706755,5.220756753225932,0.1857396584579735,114841,"1,2,3,4,5,6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,positive,Before Head (dist > 0),1,6.376501359699663,5.96485120803189,6.788151511367436,0.2100255875855985,114841,"1,2,3,4,5,6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,positive,Before Head (dist > 0),2,7.961902073060554,7.4828827933726245,8.440921352748484,0.24439759167751515,114841,"1,2,3,4,5,6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
head_dist,Head Distance,4,head_after_before,Before Head (dist > 0),After Head (dist < 0),head_follows,head_precedes,bert,bert-base-uncased,gride,NLID,Nonlinear ID,bert/tables_HEADDIST/headdist_bootstrap/headdist_raw_gride_bert-base-uncased.csv,positive,Before Head (dist > 0),3,8.89856964759097,8.547382763668379,9.24975653151356,0.1791769815931585,114841,"1,2,3,4,5,6",6,normal_approx_from_class_level_ci,token_weighted_mean_of_feature_groups
